ticker,event_date,event_trading_date,nct_id,title,phase,sponsor,conditions,enrollment,interventions,market_cap_m,move_pct,move_2d_pct,price_before,price_after,move_class,event_type,catalyst_type,price_error
AZN,2017-09-22,2017-09-22,NCT01972217,Ph II Study to Evaluate Olaparib With Abiraterone in Treating Metastatic Castration Resistant Prostate Cancer.,PHASE2,AstraZeneca,Metastatic Castration-resistant Prostate Cancer,158,Olaparib; Placebo; Abiraterone,,3.47,3.63,52.4,54.22,Low,Gainer,Clinical Data,
SNY,2021-03-15,2021-03-15,NCT02004691,"Efficacy, Safety, Pharmacodynamic, and Pharmacokinetics Study of Olipudase Alfa in Patients With Acid Sphingomyelinase Deficiency",PHASE2/PHASE3,"Genzyme, a Sanofi Company",Sphingomyelin Lipidosis,36,placebo (saline); Olipudase alfa,,1.46,2.9,39.41,39.98,Low,Gainer,Clinical Data,
AZN,2023-06-16,2023-06-16,NCT04989816,Study of T-DXd Monotherapy in Patients With HER2-expressing Locally Advanced or Metastatic Gastric or GEJ Adenocarcinoma Who Have Received 2 or More Prior Regimens,PHASE2,AstraZeneca,Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma,95,Trastuzumab Deruxtecan,,0.8,-0.9,140.63,141.76,Low,Gainer,Clinical Data,
KPTI,2024-08-31,2024-09-03,NCT02649790,"Study of the Safety, Tolerability and Efficacy of KPT-8602 in Participants With Relapsed/Refractory Cancer Indications",PHASE1/PHASE2,Karyopharm Therapeutics Inc,Relapsed/Refractory Multiple Myeloma (RRMM); Metastatic Colorectal Cancer (mCRC); Metastatic Castration-Resistant Prostate Cancer (mCRPC); Higher-Risk Myelodysplastic Syndrome (HR-MDS); Acute Myeloid Leukemia (AML); Newly Diagnosed Intermediate/High-Risk MDS,277,KPT-8602; ASTX727; Dexamethasone,172.6,-5.26,-6.18,11.4,10.8,Medium,Loser,Clinical Data,
CYTK,2023-02-28,2023-02-28,NCT04219826,"Dose-finding Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of CK-3773274 in Adults With Hypertrophic Cardiomyopathy",PHASE2,Cytokinetics,Hypertrophic Cardiomyopathy (HCM),96,CK-3773274 (5 - 15 mg); CK-3773274 (10 - 30 mg); Placebo for CK-3773274,7607.3,0.88,0.3,42.98,43.36,Low,Gainer,Clinical Data,
BIIB,2023-02-06,2023-02-06,NCT05065970,Clinical Trial to Assess Efficacy and Safety of the Human Anti-CD38 Antibody Felzartamab (MOR202) in IgA Nephropathy,PHASE2,"HI-Bio, A Biogen Company",Immunoglobulin A (IgA) Nephropathy,54,Felzartamab; Placebo,,1.64,2.75,283.63,288.28,Low,Gainer,Clinical Data,
BPMC,2025-11-21,,NCT04773782,A Study of Avapritinib in Pediatric Patients With Solid Tumors Dependent on KIT or PDGFRA Signaling,PHASE1/PHASE2,Blueprint Medicines Corporation,"Solid Tumor, Unspecified, Child; Relapsed Solid Neoplasm; CNS Tumor",29,avapritinib,,,,,,Unknown,Loser,Clinical Data,Insufficient price data
PFE,2024-03-04,2024-03-04,NCT03765073,"Trial To Evaluate The Safety, Tolerability, And Immunogenicity Of A Multivalent Group B Streptococcus Vaccine In Healthy Nonpregnant Women And Pregnant Women And Their Infants",PHASE2,Pfizer,Group B Streptococcus Infections,1208,Multivalent Group B streptococcus vaccine; Placebo,,-2.63,-1.92,23.33,22.71,Low,Loser,Clinical Data,
RHHBY,2025-08-07,2025-08-07,NCT03677154,Trial of Mosunetuzumab (BTCT4465A) as Consolidation Therapy in Participants With Diffuse Large B-Cell Lymphoma Following First-Line Immunochemotherapy and as Monotherapy or in Combination With Polatuzumab Vedotin in Elderly/Unfit Participants With Previously Untreated Diffuse Large B-Cell Lymphoma,PHASE1/PHASE2,Hoffmann-La Roche,Diffuse Large B-cell Lymphoma,188,Mosunetuzumab Intravenous (IV); Mosunetuzumab Subcutaneous (SC); Polatuzumab Vedotin,,0.68,-0.34,38.36,38.62,Low,Gainer,Clinical Data,
RHHBY,2022-05-16,2022-05-16,NCT04677504,"A Study of Atezolizumab With or Without Bevacizumab in Combination With Cisplatin Plus Gemcitabine in Patients With Untreated, Advanced Biliary Tract Cancer",PHASE2,Hoffmann-La Roche,Biliary Tract Cancer,162,Atezolizumab; Bevacizumab; Placebo,,0.93,1.56,35.58,35.92,Low,Gainer,Clinical Data,
