ticker,event_date,event_trading_date,nct_id,title,phase,sponsor,conditions,enrollment,interventions,market_cap_m,move_pct,move_2d_pct,price_before,price_after,move_class,event_type,catalyst_type,price_error
NRC,2019-01-24,2019-01-24,NCT00047060,Stem Cell Transplant Therapy With Campath-1H for Treating Advanced Mycosis Fungoides and Sezary Syndrome,PHASE1/PHASE2,"National Heart, Lung, and Blood Institute (NHLBI)",Mycosis Fungoides; Sezary Syndrome,5,A matched peripheral donor stem cells; cyclosporine; fludarabine,303.8,-0.25,0.0,34.83,34.74,Low,Loser,Clinical Data,
MRK,2018-07-30,2018-07-30,NCT02559687,Study of Pembrolizumab (MK-3475) in Previously-Treated Participants With Advanced Carcinoma of the Esophagus or Esophagogastric Junction (MK-3475-180/KEYNOTE-180),PHASE2,Merck Sharp & Dohme LLC,Esophageal Carcinoma; Esophagogastric Junction Carcinoma,121,pembrolizumab,,2.08,3.75,47.75,48.74,Low,Gainer,Clinical Data,
DTIL,2021-06-24,2021-06-24,NCT04030195,Dose-escalation Study of Safety of PBCAR20A in Subjects With r/r NHL or r/r CLL/SLL,PHASE1/PHASE2,"Precision BioSciences, Inc.","Non-Hodgkin's Lymphoma, Relapsed; Chronic Lymphoid Leukemia in Relapse; Non-Hodgkin's Lymphoma Refractory; Chronic Lymphocytic Leukemia; Lymphoma, Non-Hodgkin; Leukemia, Lymphocytic, Chronic; B-cell Chronic Lymphocytic Leukemia; B-cell Non Hodgkin Lymphoma; Small Lymphocytic Lymphoma",18,PBCAR20A; Fludarabine; Cyclophosphamide,101.1,5.42,6.45,321.0,338.4,Medium,Gainer,Clinical Data,
XERS,2020-02-26,2020-02-26,NCT03770637,Glucagon Ready to Use (RTU) in Subjects With Hyperinsulinemic Hypoglycemia After Bariatric Surgery,PHASE2,Xeris Pharmaceuticals,Hyperinsulinemic Hypoglycemia,14,Glucagon RTU; Placebo,1015.5,-4.94,-11.11,4.05,3.85,Low,Loser,Clinical Data,
MRK,2022-09-14,2022-09-14,NCT03524118,"Safety, Tolerability, and Pharmacokinetics of Clesrovimab (MK-1654) in Infants (MK-1654-002)",PHASE1/PHASE2,Merck Sharp & Dohme LLC,Respiratory Tract Infection; Respiratory Syncytial Virus,183,Clesrovimab; Placebo,,1.59,1.36,77.03,78.25,Low,Gainer,Clinical Data,
MRK,2021-07-12,2021-07-12,NCT04168190,A Phase 1/Phase 2 Study of Polyvalent Pneumococcal Conjugate Vaccine (V116) in Adults (V116-001),PHASE1/PHASE2,Merck Sharp & Dohme LLC,"Pneumonia, Pneumococcal",600,V116; Pneumovax™23,,-0.56,-0.49,67.21,66.83,Low,Loser,Clinical Data,
NRC,2017-03-30,2017-03-30,NCT01688466,Pomalidomide for Chronic Graft-versus-Host Disease,PHASE2,National Cancer Institute (NCI),Graft vs Host Disease; Graft-Versus-Host Disease,34,Pomalidomide,303.8,0.52,2.34,16.11,16.2,Low,Gainer,Clinical Data,
REGN,2019-09-16,2019-09-16,NCT03188666,"A Study to Examine the Safety, Tolerability and Effects on Abnormal Bone Formation of REGN2477 in Patients With Fibrodysplasia Ossificans Progressiva",PHASE2,Regeneron Pharmaceuticals,Fibrodysplasia Ossificans Progressiva,44,REGN2477; Matching placebo,,1.52,2.31,279.73,283.97,Low,Gainer,Clinical Data,
NRC,2018-01-22,2018-01-22,NCT02481453,Rapamycine vs Placebo for the Treatment of Inclusion Body Myositis,PHASE2/PHASE3,"Institut National de la Santé Et de la Recherche Médicale, France",Inclusion Body Myositis (IBM),44,Rapamycin; Placebo,303.8,0.4,1.87,31.55,31.67,Low,Gainer,Clinical Data,
MDXG,2018-08,2018-08-01,NCT02427191,Micronized dHACM Injectable for the Treatment of Plantar Fasciitis,PHASE2/PHASE3,"MiMedx Group, Inc.","Fasciitis, Plantar",147,AmnioFix® Injectable; Saline Injection,724.2,-5.65,-0.71,4.25,4.01,Medium,Loser,Clinical Data,
