ticker,event_date,market_cap_m,move_pct,close,volume,atr_pct,normalized_move,event_type,catalyst_type
MSLE,2022-04-22,256.9,3500.0,10.8,350,10.2,343.14,Gainer,
MSLE,2022-04-28,256.9,3100.0,9.6,75,21.82,142.04,Gainer,
MSLE,2022-03-24,256.9,2772.73,7.58,58,11.1,249.8,Gainer,
MSLE,2022-05-19,256.9,2066.67,7.8,333,31.78,65.04,Gainer,
GLSI,2020-12-09,384.0,998.29,57.1,19193200,14.34,69.64,Gainer,
MSLE,2022-09-09,256.9,850.0,3.42,833,11.88,71.57,Gainer,
HELP,2020-11-11,366.7,789.74,26.37,26,7.65,103.27,Gainer,
EQ,2020-07-13,110.8,730.72,26.5,100657000,5.32,137.24,Gainer,
INDV,2022-11-28,4090.8,571.88,21.03,600,8.27,69.14,Gainer,
ORGO,2019-01-09,407.4,512.72,82.35,28200,18.26,28.08,Gainer,
COGT,2020-07-06,6305.7,394.38,8.8,16427475,7.49,52.65,Gainer,
MCRB,2020-08-10,79.1,389.22,454.0,4770510,7.67,50.72,Gainer,
ORKA,2020-05-28,1665.8,386.33,123.98,6956683,5.91,65.42,Gainer,
PHVS,2022-12-08,1844.2,356.57,11.46,80834100,7.52,47.41,Gainer,
AMRN,2018-09-24,286.9,314.72,248.0,8155190,5.24,60.08,Gainer,
MBOT,2019-01-14,161.9,307.92,9.79,37369000,7.39,41.67,Gainer,
VANI,2021-03-05,99.9,304.9,17.37,246576867,11.56,26.38,Gainer,
HELP,2020-05-26,366.7,285.71,27.54,78,10.05,28.44,Gainer,
ALT,2018-09-19,539.7,285.48,16.46,2211100,11.34,25.18,Gainer,
MDGL,2022-12-19,9811.3,268.07,234.83,8816700,5.79,46.27,Gainer,
RZLT,2019-01-07,307.2,250.0,17.5,10240,5.03,49.72,Gainer,
GYRE,2022-05-23,793.8,234.21,3.1,16045927,7.64,30.66,Gainer,
MGNX,2020-05-06,125.9,230.92,25.15,85675900,6.18,37.38,Gainer,
IMDX,2019-01-29,172.4,224.73,118.2,2229130,6.79,33.1,Gainer,
OCGN,2020-12-23,595.7,222.98,2.6,918194300,6.02,37.07,Gainer,
ACRS,2021-01-19,311.0,220.24,18.83,114362200,7.05,31.24,Gainer,
KALA,2022-12-28,346.3,218.37,12.48,51896700,7.69,28.41,Gainer,
OCGN,2021-02-08,595.7,201.14,15.81,719521500,7.68,26.2,Gainer,
SAVA,2018-10-03,110.1,200.55,2.9,59217751,5.48,36.61,Gainer,
ELDN,2020-09-15,208.6,192.88,19.98,10177356,7.32,26.33,Gainer,
BNTC,2021-03-23,373.4,190.28,157.42,7329100,7.59,25.07,Gainer,
SVRA,2019-12-30,1224.9,183.82,4.91,55277300,6.55,28.05,Gainer,
CBIO,2022-09-21,368.1,-182.05,58.67,1080,19.97,9.12,Loser,
IBIO,2020-02-28,97.4,181.61,1225.0,526211,8.61,21.09,Gainer,
MSLE,2022-10-13,256.9,179.17,8.04,100,3.44,52.08,Gainer,
SLS,2020-12-10,839.5,176.37,17.66,147659000,6.04,29.2,Gainer,
BYSI,2021-08-04,55.5,176.01,26.58,83215100,5.53,31.8,Gainer,
OCGN,2020-12-22,595.7,173.81,0.81,706724200,5.57,31.23,Gainer,
SPRO,2022-09-22,122.3,167.64,2.2,218597300,12.78,13.12,Gainer,
MIST,2020-07-23,145.6,166.77,8.91,224641000,6.29,26.52,Gainer,
IBIO,2020-02-27,97.4,163.64,435.0,395336,10.17,16.09,Gainer,
IMMP,2020-12-10,412.1,163.43,5.69,284920800,6.85,23.84,Gainer,
AXSM,2019-01-07,8383.5,161.22,6.87,51674500,8.62,18.71,Gainer,
XTNT,2020-05-21,79.8,159.7,1.74,32038000,11.41,14.0,Gainer,
PLRX,2022-07-11,79.9,159.01,23.0,82816300,5.91,26.92,Gainer,
VTVT,2018-10-02,150.3,157.73,80.0,554765,6.96,22.66,Gainer,
ATHE,2020-08-04,62.4,154.07,34.3,11011670,8.54,18.04,Gainer,
ENTX,2021-03-11,63.7,152.5,4.04,361217300,11.74,12.99,Gainer,
SLS,2018-04-02,839.5,150.72,432.5,347690,9.41,16.02,Gainer,
ATHE,2020-11-16,62.4,146.09,28.3,11522680,8.9,16.41,Gainer,
IMUX,2019-04-05,122.7,145.93,20.56,3862240,8.1,18.01,Gainer,
MDGL,2018-05-31,9811.3,144.96,265.61,5080300,5.67,25.58,Gainer,
NVCT,2022-02-07,234.7,144.62,7.95,43338700,,,Gainer,
VRDN,2020-10-28,2804.1,142.31,18.9,17798400,6.62,21.51,Gainer,
HURA,2019-05-31,94.3,141.42,7140.0,3087,14.79,9.56,Gainer,
SAVA,2021-02-02,110.1,141.15,55.44,76134961,8.78,16.07,Gainer,
NKTX,2022-04-25,191.8,140.93,18.72,109832000,7.21,19.54,Gainer,
MESO,2020-04-24,2103.1,139.53,30.9,15244600,8.9,15.68,Gainer,
HYFT,2021-07-22,52.8,136.49,13.22,121748100,6.4,21.34,Gainer,
CRVS,2021-09-17,1529.6,135.4,5.32,252822100,6.56,20.65,Gainer,
RLMD,2019-10-15,334.4,134.03,26.2,2248300,7.57,17.71,Gainer,
SAVA,2020-09-14,110.1,133.43,7.75,175097198,5.92,22.56,Gainer,
MGNX,2019-02-06,125.9,130.42,25.6,25949900,7.17,18.18,Gainer,
KZIA,2019-11-20,95.8,129.81,370.0,22566,7.08,18.33,Gainer,
CPIX,2021-11-30,73.6,128.64,5.03,207688000,5.95,21.6,Gainer,
TENX,2018-03-01,74.9,128.45,16960.0,4532,10.11,12.7,Gainer,
ANVS,2021-05-21,71.0,127.27,60.0,39105800,10.87,11.7,Gainer,
DAWN,2022-06-13,1088.4,125.98,14.96,49936000,7.6,16.59,Gainer,
FULC,2021-08-10,558.1,125.33,18.77,104744200,7.36,17.03,Gainer,
TNXP,2020-02-26,178.6,125.0,576000.0,258,20.06,6.23,Gainer,
BNTC,2020-04-20,373.4,124.78,222.02,96806,10.59,11.78,Gainer,
XTNT,2021-02-26,79.8,124.35,4.33,218826600,9.95,12.49,Gainer,
IVVD,2021-12-16,476.6,123.31,14.18,195361400,64.22,1.92,Gainer,
RZLT,2019-08-01,307.2,121.7,23.5,36,14.98,8.12,Gainer,
KRYS,2021-11-29,8057.6,121.65,88.24,8480400,7.67,15.87,Gainer,
DRUG,2022-08-18,820.4,121.43,10.85,23980560,14.62,8.31,Gainer,
VTVT,2018-12-28,150.3,120.39,90.8,1020180,13.41,8.98,Gainer,
ABUS,2020-07-23,896.2,119.86,6.2,109113500,7.03,17.04,Gainer,
SRRK,2020-10-27,4515.9,118.8,30.02,53359100,5.9,20.13,Gainer,
RAPT,2021-06-14,1679.1,115.51,320.16,4461683,6.29,18.36,Gainer,
KALV,2021-02-09,822.9,114.61,33.5,35138300,7.9,14.51,Gainer,
FBRX,2020-02-21,378.6,111.11,712.5,137194,7.51,14.79,Gainer,
MIRM,2019-12-16,5526.3,110.99,17.28,8442800,7.62,14.57,Gainer,
ALT,2020-02-28,539.7,110.23,3.7,26087100,6.13,17.97,Gainer,
PEPG,2022-09-28,427.6,110.19,10.93,9989100,10.68,10.31,Gainer,
LXRX,2021-01-14,614.3,105.36,8.05,163685700,6.86,15.36,Gainer,
MSLE,2022-08-01,256.9,104.08,12.0,42,5.27,19.75,Gainer,
ABOS,2022-09-28,190.2,103.83,9.58,65285000,8.03,12.93,Gainer,
SLNO,2022-12-19,2098.5,103.74,1.85,105236600,8.29,12.52,Gainer,
VANI,2021-03-08,99.9,103.28,35.31,106797200,9.38,11.02,Gainer,
PVLA,2021-05-25,1598.2,103.24,300.8,4552066,6.09,16.96,Gainer,
SAVA,2018-01-09,110.1,103.15,9.04,31548562,,,Gainer,
SPRB,2021-12-17,58.8,102.82,28293.75,20303,7.58,13.56,Gainer,
XENE,2021-10-04,3340.6,101.92,31.5,63786400,5.76,17.7,Gainer,
ATHE,2020-06-30,62.4,101.69,11.9,4708970,7.69,13.23,Gainer,
VKTX,2018-05-31,3910.4,101.01,9.99,57479800,6.09,16.59,Gainer,
NAUT,2021-02-08,305.7,100.09,22.43,13580200,5.5,18.2,Gainer,
QIPT,2018-09-14,161.4,100.0,3.8,50,7.58,13.2,Gainer,
ATHE,2020-03-23,62.4,100.0,7.2,229790,23.19,4.31,Gainer,
KALA,2022-12-29,346.3,99.04,24.84,28978100,7.4,13.38,Gainer,
INKT,2022-08-15,51.4,98.83,34.0,2080970,8.69,11.37,Gainer,
ORKA,2019-05-01,1665.8,98.64,66.15,1846850,8.94,11.03,Gainer,
