ticker,drug_name,indication,v_actual_date,disease_genetic_basis,feat_genetic_basis_encoded,feat_heritability_proxy_score,feat_heritability_level,feat_disease_molecular_heterogeneity_score,feat_rare_disease_flag,feat_oncology_flag,mesh_level1,issue,root_cause,imputation_in_training,conflict
SEPN,SEP-786,Hypoparathyroidism,2025-02-18,,,0.4,1.0,0.5,0,0,Endocrine System Diseases,encoded=NaN_imputed_to_0_in_training; level=1_from_0.40_null_fallback,disease_genetic_basis is NaN (not classified by enrich_disease_biology.py),feat_genetic_basis_encoded NaN -> 0.0 (ORDINAL_INT_FEATURES fillna),encoded=0 normally means none->proxy=0.10->level=0; but these get proxy=0.40->level=1
LYEL,LYL273,,2025-11-10,,,0.4,1.0,0.5,0,0,,encoded=NaN_imputed_to_0_in_training; level=1_from_0.40_null_fallback,disease_genetic_basis is NaN (not classified by enrich_disease_biology.py),feat_genetic_basis_encoded NaN -> 0.0 (ORDINAL_INT_FEATURES fillna),encoded=0 normally means none->proxy=0.10->level=0; but these get proxy=0.40->level=1
OVID,OV350,,2025-12-18,,,0.4,1.0,0.5,0,0,,encoded=NaN_imputed_to_0_in_training; level=1_from_0.40_null_fallback,disease_genetic_basis is NaN (not classified by enrich_disease_biology.py),feat_genetic_basis_encoded NaN -> 0.0 (ORDINAL_INT_FEATURES fillna),encoded=0 normally means none->proxy=0.10->level=0; but these get proxy=0.40->level=1
IPHA,SAR443579/IPH6101,,2024-06-17,,,0.4,1.0,0.5,0,0,,encoded=NaN_imputed_to_0_in_training; level=1_from_0.40_null_fallback,disease_genetic_basis is NaN (not classified by enrich_disease_biology.py),feat_genetic_basis_encoded NaN -> 0.0 (ORDINAL_INT_FEATURES fillna),encoded=0 normally means none->proxy=0.10->level=0; but these get proxy=0.40->level=1
NAMS,EB613,,2025-10-23,,,0.4,1.0,0.5,0,0,,encoded=NaN_imputed_to_0_in_training; level=1_from_0.40_null_fallback,disease_genetic_basis is NaN (not classified by enrich_disease_biology.py),feat_genetic_basis_encoded NaN -> 0.0 (ORDINAL_INT_FEATURES fillna),encoded=0 normally means none->proxy=0.10->level=0; but these get proxy=0.40->level=1
HURA,HURA,,2025-04-28,,,0.4,1.0,0.5,0,0,,encoded=NaN_imputed_to_0_in_training; level=1_from_0.40_null_fallback,disease_genetic_basis is NaN (not classified by enrich_disease_biology.py),feat_genetic_basis_encoded NaN -> 0.0 (ORDINAL_INT_FEATURES fillna),encoded=0 normally means none->proxy=0.10->level=0; but these get proxy=0.40->level=1
UNCY,UNI-494,,2024-10-09,,,0.4,1.0,0.5,0,0,,encoded=NaN_imputed_to_0_in_training; level=1_from_0.40_null_fallback,disease_genetic_basis is NaN (not classified by enrich_disease_biology.py),feat_genetic_basis_encoded NaN -> 0.0 (ORDINAL_INT_FEATURES fillna),encoded=0 normally means none->proxy=0.10->level=0; but these get proxy=0.40->level=1
TVGN,TVGN 489,,2024-10-08,,,0.4,1.0,0.5,0,0,,encoded=NaN_imputed_to_0_in_training; level=1_from_0.40_null_fallback,disease_genetic_basis is NaN (not classified by enrich_disease_biology.py),feat_genetic_basis_encoded NaN -> 0.0 (ORDINAL_INT_FEATURES fillna),encoded=0 normally means none->proxy=0.10->level=0; but these get proxy=0.40->level=1
SPRB,tralesinidase alfa (TA-ERT),,2025-10-06,,,0.4,1.0,0.5,0,0,,encoded=NaN_imputed_to_0_in_training; level=1_from_0.40_null_fallback,disease_genetic_basis is NaN (not classified by enrich_disease_biology.py),feat_genetic_basis_encoded NaN -> 0.0 (ORDINAL_INT_FEATURES fillna),encoded=0 normally means none->proxy=0.10->level=0; but these get proxy=0.40->level=1
MIRA,Ketamir-2,,2025-07-29,,,0.4,1.0,0.5,0,0,,encoded=NaN_imputed_to_0_in_training; level=1_from_0.40_null_fallback,disease_genetic_basis is NaN (not classified by enrich_disease_biology.py),feat_genetic_basis_encoded NaN -> 0.0 (ORDINAL_INT_FEATURES fillna),encoded=0 normally means none->proxy=0.10->level=0; but these get proxy=0.40->level=1
