ticker,event_date,drug_name,nct_id,target_large_move,feat_asset_event_sequence_num,feat_asset_trial_share,feat_cash_runway_proxy,feat_company_event_sequence_num,feat_company_historical_hit_rate,feat_ctgov_asset_maturity_score,feat_ctgov_n_late_stage_trials_sponsor,feat_ctgov_pipeline_maturity_score,feat_days_to_primary_completion,feat_design_quality_score,feat_disease_molecular_heterogeneity_score,feat_enrichment_relevance_score,feat_enrollment_log,feat_heritability_proxy_score,feat_lead_asset_dependency_score,feat_log_market_cap,feat_n_trials_for_company,feat_n_unique_drugs_for_company,feat_ot_genetic_evidence_score,feat_ot_gwas_signal,feat_ot_monogenic_signal,feat_ot_n_genetic_targets,feat_ot_somatic_signal,feat_phase_num,feat_pipeline_depth_score,feat_pivotal_proxy_score,feat_regulatory_stage_score,feat_time_since_last_asset_event,feat_time_since_last_company_event,feat_trial_quality_score,feat_volatility,feat_active_not_recruiting_at_event_flag,feat_biomarker_stratified_flag,feat_blinded_flag,feat_breakthrough_flag,feat_cns_flag,feat_completed_at_event_flag,feat_controlled_flag,feat_fast_track_flag,feat_has_predictive_biomarker,feat_late_stage_flag,feat_nda_bla_flag,feat_oncology_flag,feat_open_label_flag,feat_orphan_flag,feat_primary_completion_imminent_30d,feat_primary_completion_imminent_90d,feat_primary_endpoint_known_flag,feat_priority_review_flag,feat_randomized_flag,feat_rare_disease_flag,feat_recent_ctgov_update_flag,feat_single_asset_company_flag,feat_small_trial_flag,feat_targeted_mechanism_flag,feat_targeted_therapy_exists,feat_terminated_at_event_flag,feat_withdrawn_at_event_flag,feat_mesh_level1_encoded,feat_heritability_level,feat_genetic_basis_encoded,feat_ot_genetic_basis,feat_therapeutic_superclass_CNS,feat_therapeutic_superclass_Cardiovascular,feat_therapeutic_superclass_Dermatology,feat_therapeutic_superclass_Endocrine/Metabolic,feat_therapeutic_superclass_GI/Hepatology,feat_therapeutic_superclass_Immunology,feat_therapeutic_superclass_Infectious Disease,feat_therapeutic_superclass_Musculoskeletal,feat_therapeutic_superclass_Oncology,feat_therapeutic_superclass_Other,feat_therapeutic_superclass_Respiratory,feat_genetic_basis_monogenic,feat_genetic_basis_none,feat_genetic_basis_polygenic,feat_genetic_basis_somatic,feat_genetic_basis_unknown,split
LLY,2010-02-15,Enzastaurin,NCT00709995,0,1,0.0161,0.1718,1,0.0,5.8244,60.0,1.2667,-1.0,0.0,0.6,0.4499999999999999,2.8903717578961645,0.4,0.2,2.7786942532997094,124,50,0.827461,0.788161,0.827461,1,0.607931,2.0,4.5727,0.0,0,109.5,71.0,0.0,6.795,0.0,1.0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0,1.0,0.0,0,0.0,0.0,1.0,1.0,-1.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,train
LLY,2010-12-28,enzastaurin,NCT00451555,0,1,0.0161,0.1718,2,0.0,5.8244,60.0,1.2667,-1.0,1.0,0.6,0.1,5.056245805348308,0.4,0.2,2.7786942532997094,124,50,0.981302,0.921351,0.981302,21,0.956429,2.0,4.5727,0.0,0,109.5,315.0,1.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,-1.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,train
NVS,2013-06-28,LDE225,NCT01327053,0,1,0.0061,0.1718,5,0.0,3.3198,80.0,1.6226,-1.0,1.0,0.6,0.1,5.442417710521793,0.4,0.2,2.7786942532997094,163,111,0.925256,0.925256,0.759913,3,0.759913,2.0,4.8874,0.0,0,109.5,330.0,1.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,-1.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,train
NRC,2013-08-12,Bevacizumab,NCT00321685,0,1,0.0176,0.1718,3,0.0,1.4886,61.0,0.6439,-1.0,0.0,0.6,0.35,4.060443010546419,0.4,0.2,2.4825877695267677,340,286,0.4,0.0,0.0,0,0.0,2.0,5.2638,0.0,0,109.5,19.0,0.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,1.0,0,0.0,0.0,1.0,1.0,-1.0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,train
NRC,2015-05-21,Doxorubicin Hydrochloride,NCT01015833,0,1,0.0029,0.1718,12,0.0,1.4696,61.0,0.6439,-1.0,3.0,0.6,0.4499999999999999,5.877735781779639,0.4,0.2,2.4825877695267677,340,286,0.4,0.0,0.0,0,0.0,3.0,5.2638,1.5,0,109.5,71.0,3.0,6.795,0.0,1.0,0,0,0,0.0,0,0,0,1.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,-1.0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,train
MRK,2015-06-10,Grazoprevir 100 mg/Elbasvir 50 mg FDC tablet (MK-5172A),NCT02105688,0,1,0.0067,0.1718,3,0.0,3.0151,67.0,1.2566,-1.0,3.0,0.5,0.125,5.71042701737487,0.4,0.2,2.7786942532997094,150,61,0.730823,0.730823,0.0,0,0.0,3.0,4.6509,1.5,0,109.5,1501.0,3.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,8.0,1.0,-1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,train
LLY,2015-08-19,Galcanezumab,NCT02163993,0,1,0.0484,0.1718,8,0.0,4.2426,60.0,1.2667,-1.0,2.0,0.5,0.375,6.028278520230698,0.4,0.2,2.7786942532997094,124,50,0.968837,0.882523,0.968837,5,0.0,2.0,4.5727,0.0,0,109.5,735.0,2.0,6.795,0.0,0.0,0,0,1,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,1.0,0,0.0,0.0,2.0,1.0,-1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train
NRC,2015-10-14,Rituximab,NCT00520130,0,1,0.0029,0.1718,20,0.0,1.7098,61.0,0.6439,-1.0,0.0,0.6,0.35,4.532599493153256,0.4,0.2,2.4825877695267677,340,286,0.4,0.0,0.0,0,0.0,1.5,5.2638,0.0,0,109.5,11.0,0.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,1.0,0,0.0,0.0,1.0,1.0,-1.0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,train
RHHBY,2015-11-19,Docetaxel,NCT01903993,0,1,0.0152,0.1718,6,0.0,1.6243,85.0,1.957,-1.0,1.0,0.6,0.1,5.662960480135946,0.4,0.2,2.7786942532997094,132,82,0.928567,0.855755,0.759913,4,0.928567,2.0,4.7675,0.0,0,109.5,118.0,1.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,-1.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,train
BMY,2015-11-24,Abatacept,NCT01835470,0,3,0.0459,0.1718,14,0.0,5.2296,68.0,1.4923,-1.0,1.0,0.5,0.125,3.1780538303479458,0.4,0.2,2.7786942532997094,109,34,0.747029,0.747029,0.607931,2,0.0,3.0,4.4221,1.5,0,132.0,17.0,1.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,1.0,0.0,0,0.0,0.0,10.0,1.0,-1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,train
MRK,2016-01-25,Cetuximab,NCT01228734,0,1,0.0133,0.1718,5,0.0,2.1359,62.0,3.3541,-1.0,3.0,0.6,0.7,6.317164686747284,0.4,0.2,2.7786942532997094,150,61,0.4,0.0,0.0,0,0.0,3.0,4.6509,1.5,0,109.5,116.0,3.0,6.795,0.0,1.0,0,0,0,0.0,0,0,0,1.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,1.0,0,0.0,0.0,1.0,1.0,-1.0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,train
VCEL,2016-02-01,ixmyelocel-T,NCT01670981,0,1,1.0,0.1718,1,0.0,2.6667,13.0,3.7417,-1.0,1.0,0.5,0.125,4.74493212836325,0.4,1.0,3.256356886395526,1,1,0.4,0.0,0.0,0,0.0,2.0,0.2773,0.0,0,109.5,71.0,1.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1,0.0,0.0,0,0.0,0.0,7.0,1.0,-1.0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train
NRC,2016-02-17,amyloid PET,NCT03542656,0,1,0.0029,0.1718,27,0.0,3.282,31.0,1.1213,-1.0,2.0,0.5,0.125,5.081404364984463,0.4,0.2,2.4825877695267677,340,286,0.4,0.0,0.0,0,0.0,3.0,5.2638,1.5,0,109.5,36.0,2.0,6.795,0.0,0.0,0,0,1,0.0,0,0,0,1.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,2.0,1.0,-1.0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train
NVS,2016-02-23,Secukinumab,NCT02159053,0,1,0.0368,0.1718,11,0.0,6.3403,80.0,1.6226,-1.0,3.0,0.5,0.375,5.860786223465865,0.4,0.2,2.7786942532997094,163,111,0.4,0.0,0.0,0,0.0,3.0,4.8874,1.5,0,109.5,67.0,3.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,1.0,0,0.0,0.0,10.0,1.0,-1.0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,train
NRC,2016-03-28,DEC-205/NY-ESO-1 Fusion Protein CDX-1401,NCT02129075,0,1,0.0029,0.1718,28,0.0,2.1106,61.0,0.6439,-1.0,0.0,0.6,0.1,4.110873864173311,0.4,0.2,2.4825877695267677,340,286,0.4,0.0,0.0,0,0.0,2.0,5.2638,0.0,0,109.5,39.0,0.0,6.795,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,-1.0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,train
LLY,2016-04-30,Abemaciclib,NCT02102490,0,2,0.0323,0.1718,10,0.0,4.7767,60.0,1.2667,-1.0,1.0,0.6,0.4499999999999999,4.890349128221754,0.4,0.2,2.7786942532997094,124,50,0.981302,0.921351,0.981302,21,0.956429,2.0,4.5727,0.0,0,214.0,214.0,1.0,6.795,0.0,1.0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,-1.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,train
