ticker,event_date,move_pct,atr_pct,normalized_move,event_type,market_cap_m,match_type,catalyst_type
MSLE,2022-04-22,3500.0,10.2,343.14,Gainer,256.9,unmatched,
MSLE,2022-04-28,3100.0,21.82,142.04,Gainer,256.9,unmatched,
MSLE,2022-03-24,2772.73,11.1,249.8,Gainer,256.9,unmatched,
MSLE,2022-05-19,2066.67,31.78,65.04,Gainer,256.9,unmatched,
GLSI,2020-12-09,998.29,14.34,69.64,Gainer,384.0,unmatched,
MSLE,2022-09-09,850.0,11.88,71.57,Gainer,256.9,unmatched,
HELP,2020-11-11,789.74,7.65,103.27,Gainer,366.7,unmatched,
EQ,2020-07-13,730.72,5.32,137.24,Gainer,110.8,unmatched,
INDV,2022-11-28,571.88,8.27,69.14,Gainer,4090.8,unmatched,
ORGO,2019-01-09,512.72,18.26,28.08,Gainer,407.4,unmatched,
COGT,2020-07-06,394.38,7.49,52.65,Gainer,6305.7,unmatched,
MCRB,2020-08-10,389.22,7.67,50.72,Gainer,79.1,unmatched,
ORKA,2020-05-28,386.33,5.91,65.42,Gainer,1665.8,unmatched,
PHVS,2022-12-08,356.57,7.52,47.41,Gainer,1844.2,unmatched,
AMRN,2018-09-24,314.72,5.24,60.08,Gainer,286.9,unmatched,
MBOT,2019-01-14,307.92,7.39,41.67,Gainer,161.9,unmatched,
VANI,2021-03-05,304.9,11.56,26.38,Gainer,99.9,unmatched,
HELP,2020-05-26,285.71,10.05,28.44,Gainer,366.7,unmatched,
ALT,2018-09-19,285.48,11.34,25.18,Gainer,539.7,unmatched,
MDGL,2022-12-19,268.07,5.79,46.27,Gainer,9811.3,unmatched,
RZLT,2019-01-07,250.0,5.03,49.72,Gainer,307.2,unmatched,
GYRE,2022-05-23,234.21,7.64,30.66,Gainer,793.8,unmatched,
MGNX,2020-05-06,230.92,6.18,37.38,Gainer,125.9,unmatched,
IMDX,2019-01-29,224.73,6.79,33.1,Gainer,172.4,unmatched,
OCGN,2020-12-23,222.98,6.02,37.07,Gainer,595.7,unmatched,
ACRS,2021-01-19,220.24,7.05,31.24,Gainer,311.0,unmatched,
KALA,2022-12-28,218.37,7.69,28.41,Gainer,346.3,unmatched,
OCGN,2021-02-08,201.14,7.68,26.2,Gainer,595.7,unmatched,
SAVA,2018-10-03,200.55,5.48,36.61,Gainer,110.1,unmatched,
ELDN,2020-09-15,192.88,7.32,26.33,Gainer,208.6,unmatched,
BNTC,2021-03-23,190.28,7.59,25.07,Gainer,373.4,unmatched,
SVRA,2019-12-30,183.82,6.55,28.05,Gainer,1224.9,unmatched,
CBIO,2022-09-21,-182.05,19.97,9.12,Loser,368.1,unmatched,
IBIO,2020-02-28,181.61,8.61,21.09,Gainer,97.4,unmatched,
MSLE,2022-10-13,179.17,3.44,52.08,Gainer,256.9,unmatched,
SLS,2020-12-10,176.37,6.04,29.2,Gainer,839.5,unmatched,
BYSI,2021-08-04,176.01,5.53,31.8,Gainer,55.5,unmatched,
OCGN,2020-12-22,173.81,5.57,31.23,Gainer,595.7,unmatched,
SPRO,2022-09-22,167.64,12.78,13.12,Gainer,122.3,unmatched,
MIST,2020-07-23,166.77,6.29,26.52,Gainer,145.6,unmatched,
IBIO,2020-02-27,163.64,10.17,16.09,Gainer,97.4,unmatched,
IMMP,2020-12-10,163.43,6.85,23.84,Gainer,412.1,unmatched,
XTNT,2020-05-21,159.7,11.41,14.0,Gainer,79.8,unmatched,
PLRX,2022-07-11,159.01,5.91,26.92,Gainer,79.9,unmatched,
VTVT,2018-10-02,157.73,6.96,22.66,Gainer,150.3,unmatched,
ATHE,2020-08-04,154.07,8.54,18.04,Gainer,62.4,unmatched,
ENTX,2021-03-11,152.5,11.74,12.99,Gainer,63.7,unmatched,
SLS,2018-04-02,150.72,9.41,16.02,Gainer,839.5,unmatched,
ATHE,2020-11-16,146.09,8.9,16.41,Gainer,62.4,unmatched,
IMUX,2019-04-05,145.93,8.1,18.01,Gainer,122.7,unmatched,
MDGL,2018-05-31,144.96,5.67,25.58,Gainer,9811.3,unmatched,
NVCT,2022-02-07,144.62,,,Gainer,234.7,unmatched,
VRDN,2020-10-28,142.31,6.62,21.51,Gainer,2804.1,unmatched,
HURA,2019-05-31,141.42,14.79,9.56,Gainer,94.3,unmatched,
SAVA,2021-02-02,141.15,8.78,16.07,Gainer,110.1,unmatched,
NKTX,2022-04-25,140.93,7.21,19.54,Gainer,191.8,unmatched,
MESO,2020-04-24,139.53,8.9,15.68,Gainer,2103.1,unmatched,
HYFT,2021-07-22,136.49,6.4,21.34,Gainer,52.8,unmatched,
CRVS,2021-09-17,135.4,6.56,20.65,Gainer,1529.6,unmatched,
RLMD,2019-10-15,134.03,7.57,17.71,Gainer,334.4,unmatched,
SAVA,2020-09-14,133.43,5.92,22.56,Gainer,110.1,unmatched,
MGNX,2019-02-06,130.42,7.17,18.18,Gainer,125.9,unmatched,
KZIA,2019-11-20,129.81,7.08,18.33,Gainer,95.8,unmatched,
CPIX,2021-11-30,128.64,5.95,21.6,Gainer,73.6,unmatched,
TENX,2018-03-01,128.45,10.11,12.7,Gainer,74.9,unmatched,
ANVS,2021-05-21,127.27,10.87,11.7,Gainer,71.0,unmatched,
DAWN,2022-06-13,125.98,7.6,16.59,Gainer,1088.4,unmatched,
FULC,2021-08-10,125.33,7.36,17.03,Gainer,558.1,unmatched,
TNXP,2020-02-26,125.0,20.06,6.23,Gainer,178.6,unmatched,
BNTC,2020-04-20,124.78,10.59,11.78,Gainer,373.4,unmatched,
XTNT,2021-02-26,124.35,9.95,12.49,Gainer,79.8,unmatched,
IVVD,2021-12-16,123.31,64.22,1.92,Gainer,476.6,unmatched,
RZLT,2019-08-01,121.7,14.98,8.12,Gainer,307.2,unmatched,
KRYS,2021-11-29,121.65,7.67,15.87,Gainer,8057.6,unmatched,
DRUG,2022-08-18,121.43,14.62,8.31,Gainer,820.4,unmatched,
VTVT,2018-12-28,120.39,13.41,8.98,Gainer,150.3,unmatched,
ABUS,2020-07-23,119.86,7.03,17.04,Gainer,896.2,unmatched,
SRRK,2020-10-27,118.8,5.9,20.13,Gainer,4515.9,unmatched,
RAPT,2021-06-14,115.51,6.29,18.36,Gainer,1679.1,unmatched,
