ticker,event_date,event_type,move_pct,price_at_event,catalyst_type,catalyst_summary,drug_name,nct_id,indication,is_pivotal,pivotal_evidence,primary_endpoint_met,primary_endpoint_result,ct_official_title,ct_phase,ct_enrollment,ct_conditions,ct_status,ct_sponsor,ct_allocation,ct_primary_completion,market_cap_m,current_price,cash_position_m,short_percent,institutional_ownership,analyst_target,analyst_rating,atr_pct,stock_movement_atr_normalized,avg_daily_move,move_class_abs,move_class_norm,move_class_combo,event_trading_date,move_2d_pct,price_before,price_after,stock_relative_move,data_complete,v_is_verified,v_actual_date,v_pr_link,v_pr_date,v_pr_title,v_pr_key_info,v_is_material,v_confidence,v_summary,v_error,v_action
CRVS,2026-01-20,Gainer,165.96,21.41,Clinical Data,"Corvus Pharmaceuticals announced positive Phase 1 trial data for soquelitinib in atopic dermatitis (cohort 4), showing 75% of patients achieved EASI 75 compared to 20% in placebo, driving a 166% stock surge on January 20, 2026.",Soquelitinib,NCT06345404,Atopic Dermatitis,False,,Yes,75% EASI 75 response rate vs 20% placebo,"A Phase 1, Randomized, Blinded, Placebo-controlled, Dose Escalation and Expansion Study to Investigate the Safety, Tolerability, and Preliminary Efficacy of ITK Inhibitor Soquelitinib in Participants With Moderate to Severe Atopic Dermatitis",Phase 1,72.0,Atopic Dermatitis,RECRUITING,"Corvus Pharmaceuticals, Inc.",RANDOMIZED,2025-10,45.2,1.23,28.5,3.4,72.1,5.5,Buy,6.23,26.64,3.98,VeryHigh,Extreme,High,2026-01-20,,,,High,True,,,,,,,,,,,
NKTR,2025-06-24,Gainer,156.29,24.45,Clinical Data,"Nektar Therapeutics announced that its Phase 2b REZOLVE-AD trial of rezpegaldesleukin met primary endpoints with 61% EASI improvement and 42% EASI-75 response rate in atopic dermatitis patients, triggering a 156% stock surge on June 24, 2025.",rezpegaldesleukin (rezpeg),NCT06136741,Atopic Dermatitis,False,,Yes,"61% EASI improvement, 42% EASI-75 response rate","A Phase 2b, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Rezpegaldesleukin in the Treatment of Adult Patients With Moderate-to-Severe Atopic Dermatitis (REZOLVE-AD)",Phase 2,396.0,Moderate to Severe Atopic Dermatitis,ACTIVE_NOT_RECRUITING,Nektar Therapeutics,RANDOMIZED,2025-05-06,512.0,1.23,145.0,12.4,68.2,5.5,Buy,16.66,9.38,7.32,VeryHigh,Extreme,High,2025-06-24,,,,High,True,,,,,,,,,,,
CTMX,2025-05-12,Gainer,129.53,2.13,Clinical Data,"CytomX Therapeutics announced positive interim data from Phase 1 study of CX-2051, a first-in-class EpCAM Antibody Drug Conjugate for advanced colorectal cancer, with Phase 2 study initiation planned for 1H 2026.",CX-2051,NCT06265688,Advanced colorectal cancer,False,,Unclear,,An Investigational Study of CX-2051 in Participants With Advanced Solid Tumors,Phase 1,124.0,"Solid Tumor, Adult",RECRUITING,CytomX Therapeutics,,2027-11-30,901.4,5.32,143.63,0.09,0.94,9.0,buy,12.87,10.06,6.51,VeryHigh,Extreme,High,2025-05-12,,,,High,True,,,,,,,,,,,
ENTA,2025-09-29,Gainer,91.9,15.16,Clinical Data,"Enanta Pharmaceuticals announced topline results from its Phase 2b RSVHR trial of zelicapavir for RSV in high-risk adults, missing the primary endpoint but showing enough positive results to advance to larger studies, driving a 91.9% stock surge to $15.16.",zelicapavir,NCT06601192,respiratory syncytial virus (RSV) in high-risk adults,False,,No,,"Phase 1, Randomized, Double-Blind Four-Period Crossover, Thorough QT/QTc Study to Evaluate the Effects of EDP-938 on Cardiac Repolarization in Healthy Adults",Phase 1,72.0,RSV Infection; QTc Interval,COMPLETED,"Enanta Pharmaceuticals, Inc",RANDOMIZED,2025-02-02,401.92,13.85,185.85,0.09,0.84,20.25,buy,6.89,13.34,3.26,VeryHigh,Extreme,High,2025-09-29,,,,High,True,,,,,,,,,,,
KALA,2025-09-29,Loser,-89.27,2.05,Clinical Data,"Kala Bio's KPI-012 failed to meet primary and secondary efficacy endpoints in the Phase 2b CHASE trial for persistent corneal epithelial defect (PCED), leading to immediate program cessation and an 89.3% stock decline on September 29, 2025.",KPI-012,NCT05727878,Persistent corneal epithelial defect (PCED),True,Potential for CHASE to serve as a pivotal trial in support of a Biologics License Application (BLA) submission,No,,A Study to Evaluate Safety and Efficacy of KPI-012 Ophthalmic Solution in Participants With Persistent Corneal Epithelial Defect (PCED),Phase 2,103.0,Persistent Corneal Epithelial Defect,TERMINATED,"Combangio, Inc",RANDOMIZED,2025-09-29,30.7,0.41,21.1,0.03,56.43,,none,10.74,8.31,6.8,VeryHigh,Extreme,High,2025-09-29,,,,High,True,,,,,,,,,,,
SNSE,2024-10-21,Gainer,88.86,15.6,Clinical Data,"Sensei Biotherapeutics announced Phase 1/2 trial results for solnerstotug showing a favorable safety profile in combination with cemiplimab across 64 patients in the dose expansion cohort, with 41 patients having prior PD-(L)1 resistance.",solnerstotug,NCT05864144,PD-(L)1 resistant tumors,False,,Unclear,Favorable safety profile with no dose-limiting toxicities; 64 patients in expansion cohort,"A Phase 1/2, Open-label Study Evaluating the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Efficacy of SNS-101 (Anti VISTA) as Monotherapy and in Combination With Cemiplimab in Patients With Advanced Solid Tumors",Phase 1/2,98.0,"Solid Tumor, Adult; Advanced Solid Tumor; Head and Neck Cancer; Breast Cancer; Colon Cancer; Pancreatic Cancer; Gastric Cancer; Esophageal Cancer; Prostate Cancer; Uterine Cancer; Cervix Cancer; Ovarian Cancer; Kidney Cancer; Bladder Cancer; Thyroid Cancer; Melanoma; Sarcoma; Advanced Cancer; Metastatic Cancer; Refractory Cancer; Non Small Cell Lung Cancer; Merkel Cell Carcinoma",ACTIVE_NOT_RECRUITING,"Sensei Biotherapeutics, Inc.",NON_RANDOMIZED,2027-06,11.47,9.09,25.04,0.03,0.04,,none,11.95,7.44,4.95,VeryHigh,High,High,2024-10-21,,,,High,True,,,,,,,,,,,
RZLT,2025-12-11,Loser,-87.2,1.4,Clinical Data,"Rezolute announced that its Phase 3 sunRIZE study of ersodetug failed to meet its primary endpoint, with a 45% reduction in self-monitored hypoglycemia events in the 10-mg/kg dose cohort not statistically significant compared to 40% improvement in placebo, causing an 87.2% stock price decline.",Ersodetug,NCT06881992,Congenital Hyperinsulinism,True,The company had secured alignment with the FDA on registrational requirements for submitting an approval application for the therapy prior to the trial failure.,No,"45% reduction in self-monitored hypoglycemia events (10-mg/kg dose) vs 40% in placebo, not statistically significant","A Phase 3, Single-Arm, Open-label, Pivotal Study to Evaluate the Efficacy and Safety of Ersodetug Compared to Baseline in Patients With Inadequately Controlled Hypoglycemia Due to Tumor Hyperinsulinism (Tumor HI)",Phase 3,16.0,Tumor Hyperinsulinism (Tumor HI),RECRUITING,Rezolute,,2027-09,356.07,3.84,132.94,0.31,1.06,4.75,buy,6.69,13.03,2.55,VeryHigh,Extreme,High,2025-12-11,,,,High,True,,,,,,,,,,,
FDMT,2024-02-05,Gainer,84.62,32.29,Clinical Data,"4D Molecular Therapeutics announced positive interim Phase 2 clinical trial data for 4D-150 in wet AMD patients with severe disease activity, showing 89% reduction in standard-of-care injections and nearly two-thirds of patients injection-free over 24 weeks.[1]",4D-150,NCT05930561,wet age-related macular degeneration (wet AMD),False,,Unclear,,"A Phase 2 Randomized, Active-Controlled, Double-masked Trial of Intravitreal 4D-150 Gene Therapy in Adults With Diabetic Macular Edema (SPECTRA)",Phase 2,72.0,Diabetic Macular Edema; Diabetic Retinopathy,ACTIVE_NOT_RECRUITING,4D Molecular Therapeutics,NON_RANDOMIZED,2029-02-28,285.4,12.45,142.7,15.2,68.4,18.5,Buy,6.42,13.18,3.27,VeryHigh,Extreme,High,2024-02-05,,,,High,True,,,,,,,,,,,
SAVA,2024-11-25,Loser,-83.76,4.3,Clinical Data,"Cassava Sciences' simufilam failed to meet primary endpoints in Phase III Alzheimer's disease trials (ReThink-ALZ and ReFocus-ALZ), causing an 83.78% stock price decline on November 25, 2024.",simufilam,NCT06390410,Alzheimer's disease,True,"Lead pipeline drug, only investigational product in active clinical development",No,,A Pharmacokinetic Study of Simufilam in Subjects With Impaired Hepatic Function,Phase 1,27.0,Hepatic Insufficiency,COMPLETED,"Cassava Sciences, Inc.",NON_RANDOMIZED,2024-12-07,100.96,2.09,106.08,0.15,0.28,8.0,none,11.34,7.39,5.39,VeryHigh,High,High,2024-11-25,,,,High,True,,,,,,,,,,,
MGNX,2024-05-10,Loser,-77.44,3.31,Clinical Data,"MacroGenics disclosed on May 10, 2024, that 5 patients in the Phase 2 TAMARACK study of vobra duo for metastatic castration-resistant prostate cancer had died, raising serious safety concerns and causing the stock to crash 77%.",vobra duo,NCT05362773,metastatic castration-resistant prostate cancer (mCRPC),False,,,,"A Phase 1, First-in-Human, Dose Escalation Study of MGD024, a CD123 x CD3 Bispecific DART Molecule, in Patients With Select Relapsed or Refractory Hematologic Malignancies",Phase 1,130.0,"Leukemia, Acute Myeloid; Myelodysplastic Syndromes; Classical Hodgkin Lymphoma; Leukemia, B-cell; Leukemia, Hairy Cell; Mastocytosis, Aggressive Systemic; Blastic Plasmacytoid Dendritic Cell Neoplasm; Chronic Myeloid Leukemia",RECRUITING,MacroGenics,,2026-11,152.83,2.46,200.36,,,,,7.54,10.27,3.26,VeryHigh,Extreme,High,2024-05-10,,,,High,True,,,,,,,,,,,
