ticker,event_date,market_cap_m,move_pct,close,volume,atr_pct,normalized_move,event_type,catalyst_type,abs_move
ONMD,2024-05-23,52.2,200.0,1.47,198183000,9.11,21.96,Gainer,,200.0
IVVD,2025-02-03,476.6,196.09,1.06,448532800,9.61,20.41,Gainer,,196.09
IBIO,2024-03-27,97.4,192.17,3.36,170421100,7.46,25.75,Gainer,,192.17
ESLA,2023-09-01,51.3,191.1,21.25,4095200,12.16,15.72,Gainer,,191.1
CBIO,2024-10-29,368.1,188.24,49.0,11221418,9.91,18.99,Gainer,,188.24
TSHA,2023-08-14,1240.9,188.23,2.13,158886800,7.23,26.05,Gainer,,188.23
TVGN,2024-10-14,53.2,186.84,1.09,249536600,10.17,18.37,Gainer,,186.84
PRAX,2025-10-16,9341.1,183.71,162.71,13741900,8.39,21.91,Gainer,,183.71
EYPT,2023-12-04,1453.7,177.46,18.34,20827300,8.98,19.77,Gainer,,177.46
CGEN,2023-12-19,170.4,173.97,2.0,114373000,9.32,18.66,Gainer,,173.97
CLLS,2023-11-01,390.3,172.16,2.64,75595100,7.97,21.61,Gainer,,172.16
SGMT,2024-01-22,185.7,170.09,18.42,36169400,10.42,16.33,Gainer,,170.09
ONMD,2024-01-29,52.2,168.1,1.37,77679800,12.42,13.53,Gainer,,168.1
CELC,2025-07-28,5169.0,167.18,36.79,27636800,8.04,20.79,Gainer,,167.18
SANA,2025-01-08,1121.4,160.61,4.3,161196100,12.9,12.45,Gainer,,160.61
MBOT,2023-05-22,161.9,159.35,3.19,194062100,12.05,13.23,Gainer,,159.35
PMN,2025-07-21,50.6,154.55,28.0,11615944,17.03,9.08,Gainer,,154.55
UNCY,2023-03-06,148.9,153.06,12.4,10303350,9.8,15.61,Gainer,,153.06
ATHE,2023-12-04,62.4,153.01,4.2,34645000,10.7,14.3,Gainer,,153.01
PRLD,2025-11-03,173.5,150.31,3.98,34568300,9.0,16.69,Gainer,,150.31
ONMD,2025-10-06,52.2,148.54,2.56,285238100,10.36,14.34,Gainer,,148.54
WVE,2025-12-08,2587.6,147.26,18.52,147251400,6.68,22.05,Gainer,,147.26
