ticker,event_date,market_cap_m,move_pct,close,volume,atr_pct,normalized_move,event_type,catalyst_type
DRUG,2024-10-15,820.4,1445.78,38.49,102757200,7.19,201.03,Gainer,
SPRB,2025-10-06,58.8,1378.46,130.4,24947100,9.55,144.4,Gainer,
TECX,2024-06-24,438.9,1050.0,16.1,43500,17.52,59.95,Gainer,
YI,2025-01-24,68.6,1023.4,5.28,176000,8.02,127.57,Gainer,
INKT,2025-07-11,51.4,730.14,64.17,47857700,8.32,87.72,Gainer,
IXHL,2025-05-14,50.6,723.53,21.0,50838410,16.38,44.18,Gainer,
MIRA,2024-07-22,53.2,627.14,5.01,158147600,8.34,75.18,Gainer,
ABVX,2025-07-23,9589.9,586.0,68.6,27831900,7.25,80.77,Gainer,
DBVT,2024-11-29,1153.6,536.22,3.9,126900,7.68,69.82,Gainer,
PROK,2025-07-08,673.9,514.5,3.73,343425200,11.46,44.91,Gainer,
SLNO,2023-09-26,2098.5,504.97,26.8,41798300,8.52,59.29,Gainer,
GLTO,2025-10-07,1781.9,383.02,17.92,77432200,13.9,27.55,Gainer,
DWTX,2025-01-23,91.4,376.79,13.35,103459300,17.02,22.14,Gainer,
SRRK,2024-10-07,4515.9,361.99,34.28,42667700,7.52,48.15,Gainer,
AVTX,2024-03-28,324.0,357.89,21.75,31910400,11.51,31.09,Gainer,
SYRE,2023-06-22,3378.0,330.19,11.4,10228380,16.48,20.04,Gainer,
ZURA,2023-03-22,628.1,314.36,30.0,4237400,,,Gainer,
TENX,2023-11-13,74.9,297.44,49.6,3931746,10.71,27.76,Gainer,
SLGL,2024-12-23,255.4,284.62,16.5,1837620,7.78,36.57,Gainer,
CADL,2024-04-04,288.2,280.95,6.4,143930500,8.57,32.78,Gainer,
VANI,2024-02-28,99.9,270.3,3.74,148811400,14.5,18.65,Gainer,
KZIA,2024-07-10,95.8,252.63,33.5,9004864,13.22,19.11,Gainer,
CRBP,2024-01-26,150.4,249.41,29.49,33290700,10.3,24.22,Gainer,
GLTO,2025-11-10,1781.9,248.48,17.25,43784000,12.17,20.42,Gainer,
RANI,2025-10-17,168.0,248.2,1.64,492838500,9.94,24.97,Gainer,
QURE,2025-09-24,973.6,247.73,47.5,70079700,7.48,33.11,Gainer,
SPRO,2025-05-28,122.3,244.57,2.35,183497500,7.43,32.9,Gainer,
BDTX,2023-06-27,140.7,235.87,6.18,189918100,8.47,27.86,Gainer,
JANX,2024-02-27,818.6,229.47,49.75,15491600,8.49,27.04,Gainer,
NBTX,2023-05-05,1502.0,229.06,6.68,39763000,10.85,21.11,Gainer,
CTMX,2024-05-01,909.9,214.72,5.13,206720400,7.73,27.76,Gainer,
CNTN,2025-08-20,200.4,206.84,3.59,367092800,9.33,22.16,Gainer,
ONMD,2024-05-23,52.2,200.0,1.47,198183000,9.11,21.96,Gainer,
IVVD,2025-02-03,476.6,196.09,1.06,448532800,9.61,20.41,Gainer,
IBIO,2024-03-27,97.4,192.17,3.36,170421100,7.46,25.75,Gainer,
ESLA,2023-09-01,51.3,191.1,21.25,4095200,12.16,15.72,Gainer,
CBIO,2024-10-29,368.1,188.24,49.0,11221418,9.91,18.99,Gainer,
TSHA,2023-08-14,1240.9,188.23,2.13,158886800,7.23,26.05,Gainer,
TVGN,2024-10-14,53.2,186.84,1.09,249536600,10.17,18.37,Gainer,
PRAX,2025-10-16,9341.1,183.71,162.71,13741900,8.39,21.91,Gainer,
EYPT,2023-12-04,1453.7,177.46,18.34,20827300,8.98,19.77,Gainer,
CGEN,2023-12-19,170.4,173.97,2.0,114373000,9.32,18.66,Gainer,
CLLS,2023-11-01,390.3,172.16,2.64,75595100,7.97,21.61,Gainer,
SGMT,2024-01-22,185.7,170.09,18.42,36169400,10.42,16.33,Gainer,
ONMD,2024-01-29,52.2,168.1,1.37,77679800,12.42,13.53,Gainer,
CELC,2025-07-28,5169.0,167.18,36.79,27636800,8.04,20.79,Gainer,
SANA,2025-01-08,1121.4,160.61,4.3,161196100,12.9,12.45,Gainer,
MBOT,2023-05-22,161.9,159.35,3.19,194062100,12.05,13.23,Gainer,
PMN,2025-07-21,50.6,154.55,28.0,11615944,17.03,9.08,Gainer,
UNCY,2023-03-06,148.9,153.06,12.4,10303350,9.8,15.61,Gainer,
ATHE,2023-12-04,62.4,153.01,4.2,34645000,10.7,14.3,Gainer,
PRLD,2025-11-03,173.5,150.31,3.98,34568300,9.0,16.69,Gainer,
ONMD,2025-10-06,52.2,148.54,2.56,285238100,10.36,14.34,Gainer,
WVE,2025-12-08,2587.6,147.26,18.52,147251400,6.68,22.05,Gainer,
NERV,2025-10-21,285.6,140.98,6.41,166732500,14.66,9.62,Gainer,
OLMA,2025-11-18,1939.9,136.38,20.14,87328000,9.61,14.19,Gainer,
CCCC,2023-12-13,261.7,135.47,5.51,225846300,9.51,14.24,Gainer,
DRUG,2024-10-14,820.4,130.56,2.49,21504400,8.03,16.27,Gainer,
STTK,2023-12-13,248.1,130.33,4.86,57197800,8.78,14.85,Gainer,
FBRX,2024-11-20,378.6,128.69,13.55,29599400,9.91,12.99,Gainer,
MGX,2024-12-09,57.1,125.41,4.17,63824600,7.87,15.94,Gainer,
VSTM,2023-05-26,430.8,124.44,12.12,6980975,8.49,14.66,Gainer,
TVGN,2024-02-15,53.2,121.73,10.0,290600,21.26,5.72,Gainer,
PEPG,2025-09-25,427.6,121.05,5.88,125104600,9.44,12.83,Gainer,
VKTX,2024-02-27,3910.4,121.02,85.05,59033700,7.56,16.0,Gainer,
TNXP,2024-12-16,178.6,120.83,53.0,11965943,8.49,14.23,Gainer,
PMN,2023-07-17,50.6,120.28,154.75,559040,11.15,10.79,Gainer,
IVVD,2023-12-18,476.6,120.25,3.59,69246700,9.27,12.97,Gainer,
QTTB,2025-07-10,56.1,119.87,3.32,59600000,7.71,15.54,Gainer,
RAPP,2025-09-08,1383.6,119.15,31.47,13877600,10.98,10.85,Gainer,
COGT,2025-11-10,6305.7,119.03,32.46,23291200,7.4,16.07,Gainer,
DRUG,2024-10-18,820.4,117.56,47.21,27243100,18.24,6.44,Gainer,
ARTV,2025-10-17,142.9,116.97,6.01,100333000,8.06,14.52,Gainer,
ENGN,2024-02-14,677.2,116.54,16.5,867200,6.38,18.26,Gainer,
TECX,2025-01-30,438.9,113.22,54.84,5545600,13.59,8.33,Gainer,
NKTX,2023-10-17,191.8,112.16,3.14,90761000,9.3,12.06,Gainer,
RAPT,2024-12-23,1679.1,110.91,13.92,17633175,11.42,9.72,Gainer,
CORT,2025-03-31,3797.6,109.08,114.22,14339400,5.98,18.23,Gainer,
PALI,2023-09-06,264.1,108.7,21.6,10941940,9.13,11.91,Gainer,
IXHL,2023-11-30,50.6,105.93,239.7,17810,14.75,7.18,Gainer,
TNGX,2023-08-09,1500.3,103.92,7.81,74897800,8.43,12.32,Gainer,
ARMP,2025-10-22,391.7,103.17,7.05,13062700,14.82,6.96,Gainer,
