ticker,event_date,drug_name,nct_id,target_large_move,feat_asset_event_sequence_num,feat_asset_trial_share,feat_cash_runway_proxy,feat_company_event_sequence_num,feat_days_to_primary_completion,feat_pipeline_depth_score,feat_pivotal_proxy_score,feat_time_since_last_asset_event,feat_time_since_last_company_event,feat_active_not_recruiting_flag,feat_blinded_flag,feat_cns_flag,feat_completed_flag,feat_oncology_flag,feat_open_label_flag,feat_primary_completion_imminent_30d,feat_primary_completion_imminent_90d,feat_rare_disease_flag,feat_recent_asset_event_flag,feat_recent_company_event_flag,feat_recent_completion_flag,feat_small_trial_flag,feat_therapeutic_superclass_CNS,feat_therapeutic_superclass_Cardiovascular,feat_therapeutic_superclass_Dermatology,feat_therapeutic_superclass_Endocrine/Metabolic,feat_therapeutic_superclass_GI/Hepatology,feat_therapeutic_superclass_Immunology,feat_therapeutic_superclass_Infectious Disease,feat_therapeutic_superclass_Musculoskeletal,feat_therapeutic_superclass_Oncology,feat_therapeutic_superclass_Respiratory,feat_completion_recency_bucket_far_180_plus,feat_completion_recency_bucket_imminent_0_30,feat_completion_recency_bucket_medium_91_180,feat_completion_recency_bucket_near1_90,feat_completion_recency_bucket_past,feat_completion_recency_bucket_unknown,split
MRK,2007-05-10,"Gardasil, human papillomavirus (type 6, 11, 16, 18) recombinant vaccine",NCT00092534,0,1,0.0,0.0476,1,82.0,0.2773,0.0,155.0,24.0,0.0,1,0,1.0,1,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,train
NVS,2008-07-22,lapatinib,NCT00444535,0,1,0.0,0.1095,1,0.0,0.2773,0.0,155.0,24.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
AZN,2009-02-27,Olaparib,NCT00494234,0,1,0.0,0.1095,1,0.0,0.2773,0.0,155.0,24.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
BMY,2009-06-17,Dasatinib,NCT00529763,0,1,0.0,0.1095,1,0.0,0.2773,0.0,155.0,24.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
SNY,2009-12-02,Vandetanib,NCT00537095,0,1,0.0,0.1095,1,0.0,0.2773,0.0,155.0,24.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
AZN,2010-03-26,AZD2281,NCT00679783,0,1,0.0,0.1095,2,0.0,0.2773,0.0,155.0,392.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
NVS,2010-06-18,Lapatinib (GW572016) oral tablets,NCT00281658,0,1,0.0,0.1095,2,0.0,0.2773,0.0,155.0,696.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
MRK,2011-04-30,V503,NCT00943722,0,1,0.0,0.1095,2,0.0,0.2773,0.0,155.0,1451.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
NVS,2012-05-21,Pazopanib,NCT00720941,0,1,0.0,0.1095,3,0.0,0.2773,0.0,155.0,703.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
PFE,2012-07-27,Axitinib (AG-013736),NCT00920816,0,1,0.0,0.1095,1,0.0,0.2773,0.0,155.0,24.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
NVS,2012-08-01,trastuzumab,NCT00667251,0,1,0.0,0.1095,4,0.0,0.2773,0.0,155.0,72.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
LLY,2012-11-14,Pemetrexed,NCT00982111,0,1,0.0,0.1095,1,0.0,0.2773,0.0,155.0,24.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
LLY,2013-01-31,Pemetrexed,NCT00948675,0,2,0.0,0.1095,2,0.0,0.2773,0.0,78.0,78.0,0.0,0,0,1.0,1,0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
LLY,2013-03-20,ramucirumab (IMC-1121B),NCT01515306,0,1,0.0,0.1095,3,0.0,0.2773,0.0,155.0,48.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
LLY,2013-03-31,ramucirumab (IMC-1121B),NCT00703326,0,2,0.0,0.1095,4,0.0,0.2773,0.0,11.0,11.0,0.0,0,0,1.0,1,0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
