ticker,event_date,drug_name,nct_id,target_large_move,feat_asset_event_sequence_num,feat_asset_trial_share,feat_cash_runway_proxy,feat_company_event_sequence_num,feat_pipeline_depth_score,feat_pivotal_proxy_score,feat_active_not_recruiting_flag,feat_blinded_flag,feat_cns_flag,feat_completed_flag,feat_oncology_flag,feat_open_label_flag,feat_rare_disease_flag,feat_small_trial_flag,feat_therapeutic_superclass_CNS,feat_therapeutic_superclass_Cardiovascular,feat_therapeutic_superclass_Dermatology,feat_therapeutic_superclass_Endocrine/Metabolic,feat_therapeutic_superclass_GI/Hepatology,feat_therapeutic_superclass_Immunology,feat_therapeutic_superclass_Infectious Disease,feat_therapeutic_superclass_Musculoskeletal,feat_therapeutic_superclass_Oncology,feat_therapeutic_superclass_Respiratory,split
VERA,2023-01-04,atacicept,NCT04716231,1,1,0.0,0.1718,2,0.2773,0.0,1.0,1,0,0.0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,train
MDGL,2023-01-06,Resmetirom,NCT04197479,0,1,0.0,0.1003,2,0.2773,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,train
ATAI,2023-01-06,PCN-101,NCT05414422,1,1,0.0,0.0869,1,0.2773,0.0,0.0,1,1,1.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,train
SOPH,2023-01-10,margetuximab,NCT02492711,0,1,0.0,0.2673,3,0.2773,0.0,0.0,0,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
ORMP,2023-01-12,ORMD-0801,NCT06731075,1,2,0.0,0.9897,7,0.2773,0.0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,train
MRK,2023-01-18,Pembrolizumab,NCT03820986,0,32,0.0,0.0476,111,0.2773,0.0,0.0,0,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
SNY,2023-01-19,CYD Dengue Vaccine,NCT02741128,0,2,0.0,0.0653,60,0.2773,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,train
GLPG,2023-01-19,Filgotinib,NCT02065700,0,3,0.0,1.3516,8,0.2773,0.0,0.0,0,0,1.0,0,1,0,0.0,0,0,0,0,0,1,0,0,0,0,train
PLRX,2023-01-24,bexotegrast,NCT06097260,0,1,0.0,3.0263,2,0.2773,0.0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,train
EQ,2023-01-30,EQU-001,NCT05473442,0,1,0.0,0.2987,2,0.2773,0.0,0.0,0,1,0.0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,train
RHHBY,2023-02-02,Atezolizumab,NCT04194203,0,11,0.0,0.0404,107,0.2773,0.0,0.0,1,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
BNTX,2023-02-10,BNT162b1,NCT04368728,0,1,0.0,0.5252,9,0.2773,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,train
RHHBY,2023-02-11,Faricimab,NCT04740905,0,4,0.0,0.0404,108,0.2773,0.0,0.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,train
AMGN,2023-02-15,Ustekinumab,NCT04761627,0,1,0.0,0.0436,35,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,train
SNY,2023-02-17,Fexofenadine,NCT05692154,0,1,0.0,0.0653,62,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,train
NKTR,2023-02-24,rezpegaldesleukin,NCT06136741,1,1,0.0,0.14,3,0.2773,0.0,1.0,1,0,0.0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,train
PRAX,2023-02-28,100 mg PRAX-944,NCT05021991,0,1,0.0,0.0642,4,0.2773,0.0,0.0,1,1,1.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,train
PRAX,2023-03-03,ulixacaltamide (PRAX-944),NCT06087276,1,1,0.0,0.0642,5,0.2773,0.0,0.0,1,1,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,train
CYTK,2023-03-04,CK-3773274 (5 - 15 mg),NCT04219826,0,1,0.0,0.116,3,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,train
ARMP,2023-03-06,AP-PA02,NCT04596319,0,1,0.0,0.0378,1,0.2773,0.0,0.0,1,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1,train
ACRS,2023-03-06,zunsemetinib,NCT05279417,1,1,0.0,0.3084,3,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,train
LLY,2023-03-08,Solanezumab,NCT02008357,0,1,0.0,0.0073,88,0.2773,0.0,0.0,0,1,1.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,train
PFE,2023-03-09,LGX818,NCT01543698,0,2,0.0,0.0953,93,0.2773,0.0,0.0,0,0,1.0,1,1,0,0.0,0,0,0,0,0,0,0,0,1,0,train
PFE,2023-03-16,Multivalent Group B streptococcus vaccine,NCT04766086,0,1,0.0,0.0953,94,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,train
ABBV,2023-03-18,Risankizumab,NCT04713592,0,6,0.0,0.0128,84,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,train
PACB,2023-03-23,Meplazumab for injection,NCT05813587,0,1,0.0,0.5511,3,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,train
MRNA,2023-03-27,mRNA-1011.1,NCT05827068,0,1,0.0,0.277,5,0.2773,0.0,0.0,0,0,1.0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1,train
ALDX,2023-03-30,ADX-629,NCT05392192,0,5,0.0,0.2292,14,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,train
IFRX,2023-04-05,vilobelimab,NCT06703073,1,2,0.0,0.7127,5,0.2773,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,train
SANA,2023-04-13,UP421,NCT06239636,1,1,0.0,0.1365,1,0.2773,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,train
RLAY,2023-04-18,RLY-2608,NCT06982521,1,1,0.0,0.3118,1,0.2773,0.0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,0,0,0,0,0,1,0,train
DRUG,2023-04-18,trifluridine/tipiracil,NCT03869892,1,1,0.0,0.1085,1,0.2773,0.0,1.0,0,0,0.0,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0,train
SABS,2023-04-18,SAB-185,NCT04518410,1,1,0.0,0.5681,2,0.2773,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,train
IDYA,2023-04-24,darovasertib,NCT05987332,1,1,0.0,0.2261,1,0.2773,0.0,1.0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
BMY,2023-04-24,nivolumab,NCT03138512,0,4,0.0,0.084,98,0.2773,0.0,0.0,1,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
MRK,2023-04-26,Pembrolizumab,NCT04003636,0,33,0.0,0.0476,112,0.2773,0.0,0.0,1,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
IONS,2023-04-26,Inotersen,NCT04136184,0,2,0.0,0.2037,9,0.2773,0.0,0.0,0,1,1.0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,train
SABS,2023-04-26,SAB-185,NCT04518410,0,2,0.0,0.5681,3,0.2773,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,train
TVTX,2023-05-01,sparsentan,NCT03762850,0,1,0.0,0.1211,2,0.2773,0.0,1.0,1,0,0.0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,train
INKT,2023-05-04,botensilimab,NCT03860272,0,1,0.0,0.2782,1,0.2773,0.0,1.0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
DERM,2023-05-10,DFD-29,NCT05296629,0,1,0.0,0.0916,1,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,train
AVTX,2023-05-11,AVTX-002,NCT05288504,0,1,0.0,0.3444,1,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,train
VKTX,2023-05-15,VK2809,NCT04173065,0,1,0.0,0.1805,2,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,train
LPCN,2023-05-23,LPCN 1154,NCT02081300,0,1,0.0,0.2731,3,0.2773,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,train
SNY,2023-05-17,Dupilumab SAR231893,NCT03930732,0,4,0.0,0.0653,63,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,train
IMMP,2023-05-17,eftilagimod alpha (efti),NCT05747794,1,1,0.0,0.2405,2,0.2773,0.0,1.0,1,0,0.0,1,1,0,0.0,0,0,0,0,0,0,0,0,1,0,train
PTCT,2023-05-17,PTC923,NCT05099640,0,2,0.0,0.3553,4,0.2773,0.0,0.0,0,1,1.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,train
VRTX,2023-05-18,VX-121/TEZ/D-IVA,NCT05076149,0,1,0.0,0.0524,20,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,train
MRK,2023-05-18,V116,NCT05425732,0,2,0.0,0.0476,113,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,train
DERM,2023-05-19,B-VEC (beremagene geperpavec),NCT04917874,0,1,0.0,0.0916,2,0.2773,0.0,0.0,0,0,1.0,0,1,0,1.0,0,0,1,0,0,0,0,0,0,0,train
PTCT,2023-05-23,Vatiquinone,NCT04577352,0,1,0.0,0.3553,5,0.2773,0.0,0.0,1,1,1.0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,train
MRK,2023-05-30,Lenvatinib,NCT04199104,0,1,0.0,0.0476,114,0.2773,0.0,0.0,1,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
PFE,2023-06-01,ATM-AVI,NCT03329092,0,1,0.0,0.0953,95,0.2773,0.0,0.0,1,0,1.0,0,1,0,0.0,0,0,0,0,0,0,1,0,0,0,train
MIRA,2023-06-01,sonelokimab,NCT06641076,1,1,0.0,0.141,1,0.2773,0.0,1.0,1,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,train
NVS,2023-06-02,Ribociclib,NCT03439046,0,4,0.0,0.0354,129,0.2773,0.0,0.0,0,0,1.0,1,1,0,0.0,0,0,0,0,0,0,0,0,1,0,train
PFE,2023-06-03,Elranatamab,NCT05014412,0,1,0.0,0.0953,96,0.2773,0.0,0.0,0,0,1.0,1,1,0,0.0,0,0,0,0,0,0,0,0,1,0,train
NRC,2023-06-05,TRC102,NCT01851369,0,1,0.0,0.0135,273,0.2773,0.0,0.0,0,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
AVXL,2023-06-06,ANAVEX2-73 oral liquid,NCT04304482,0,1,0.0,0.3208,6,0.2773,0.0,0.0,1,1,1.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,train
ALDX,2023-06-15,Reproxalap Ophthalmic Solution (0.25%),NCT05234554,0,8,0.0,0.2292,15,0.2773,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,train
CRVS,2023-06-15,CPI-818,NCT03952078,0,1,0.0,0.043,1,0.2773,0.0,1.0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
LLY,2023-06-15,LY3857210,NCT05620563,0,1,0.0,0.0073,89,0.2773,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,train
AZN,2023-07-05,Dapagliflozin,NCT04564742,0,6,0.0,0.0177,68,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,train
BMEA,2023-06-20,BMF-219,NCT05731544,0,1,0.0,0.4809,1,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,train
AZN,2023-06-23,Durvalumab,NCT04712903,0,1,0.0,0.0177,69,0.2773,0.0,0.0,0,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
MLTX,2023-06-26,sonelokimab,NCT03384745,1,1,0.0,0.3176,1,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,train
AVTX,2023-06-26,AVTX-002,NCT05288504,1,2,0.0,0.3444,2,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,train
AVTX,2023-06-26,AVTX-002,NCT05288504,1,4,0.0,0.3444,5,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,train
AVTX,2023-06-26,AVTX-002,NCT05288504,1,3,0.0,0.3444,3,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,train
AVTX,2023-06-26,AVTX-002,NCT05288504,1,5,0.0,0.3444,6,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,train
AVTX,2023-06-26,AVTX-002 (quisovalimab),NCT05288504,1,1,0.0,0.3444,4,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,train
MLTX,2023-06-26,Sonelokimab (M1095),NCT05322473,1,1,0.0,0.3176,2,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,train
NKTX,2023-06-27,NKX101,NCT04623944,1,1,0.0,1.4718,1,0.2773,0.0,1.0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
CGTX,2023-06-28,CT1812,NCT04735536,0,1,0.0,0.4085,2,0.2773,0.0,0.0,0,1,1.0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,train
NVS,2023-07-01,NIS793,NCT04935359,0,1,0.0,0.0354,130,0.2773,0.0,0.0,1,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
ABOS,2023-07-17,ACU193,NCT04931459,1,1,0.0,0.6656,1,0.2773,0.0,0.0,0,1,1.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,train
ABBV,2023-07-17,Navitoclax,NCT04472598,0,1,0.0,0.0128,85,0.2773,0.0,0.0,1,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
VIR,2023-07-20,VIR-2482,NCT05567783,1,1,0.0,0.3693,4,0.2773,0.0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,train
STOK,2023-07-25,STK-001,NCT04740476,1,1,0.0,0.1194,1,0.2773,0.0,1.0,0,1,0.0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,train
RLMD,2023-07-27,REL-1017,NCT04855760,0,3,0.0,0.0416,3,0.2773,0.0,0.0,0,1,1.0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,train
MRK,2023-07-27,V116,NCT05464420,0,3,0.0,0.0476,115,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,train
LLY,2023-07-27,Tirzepatide,NCT04657016,0,12,0.0,0.0073,90,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,train
TSHA,2023-08-14,TSHA-102,NCT05606614,1,1,0.0,0.2396,1,0.2773,0.0,0.0,0,1,0.0,0,1,0,1.0,1,0,0,0,0,0,0,0,0,0,train
MESO,2023-08-04,remestemcel-L,NCT04371393,1,1,0.0,0.0618,4,0.2773,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,train
CRDF,2023-08-08,onvansertib,NCT06106308,1,1,0.0,0.4461,2,0.2773,0.0,1.0,0,0,0.0,1,1,0,0.0,0,0,0,0,0,0,0,0,1,0,train
TERN,2023-08-08,TERN-501,NCT05415722,0,1,0.0,0.0645,2,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,train
DWTX,2023-08-10,IMC-1,NCT04748705,1,1,0.0,0.1105,1,0.2773,0.0,0.0,1,1,1.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,train
PFE,2023-08-14,Elranatamab,NCT05228470,0,2,0.0,0.0953,97,0.2773,0.0,0.0,0,0,1.0,1,1,0,1.0,0,0,0,0,0,0,0,0,1,0,train
GLTO,2023-08-15,GB0139,NCT03832946,1,1,0.0,0.0043,1,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,train
NRC,2023-08-21,Pitavastatin,NCT02344290,0,1,0.0,0.0135,274,0.2773,0.0,0.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,train
MRK,2023-08-22,Lenvatinib,NCT05523323,0,2,0.0,0.0476,116,0.2773,0.0,0.0,1,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
AZN,2023-08-25,AZD4573,NCT05140382,0,1,0.0,0.0177,70,0.2773,0.0,0.0,0,0,1.0,1,1,0,0.0,0,0,0,0,0,0,0,0,1,0,train
FGEN,2023-08-28,pamrevlumab,NCT03910543,0,1,0.0,2.8429,1,0.2773,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,train
ALEC,2023-08-31,Alecensa (alectinib),NCT06765109,0,1,0.0,1.0977,1,0.2773,0.0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
NRC,2023-09-01,Ipilimumab,NCT03033576,0,3,0.0,0.0135,275,0.2773,0.0,0.0,0,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
TNXP,2023-09-05,TNX-102 SL,NCT02436096,0,3,0.0,1.0644,3,0.2773,0.0,0.0,1,1,1.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,train
TNXP,2023-09-05,TNX-102 SL,NCT02436096,0,2,0.0,1.0644,2,0.2773,0.0,0.0,1,1,1.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,train
TNXP,2023-09-05,TNX-102 SL,NCT05472090,0,4,0.0,1.0644,4,0.2773,0.0,0.0,1,1,1.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,train
ALKS,2023-09-06,ALKS 3831,NCT03201757,0,2,0.0,0.1184,3,0.2773,0.0,0.0,0,1,1.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,train
AZN,2023-09-06,MEDI7352,NCT04675034,0,1,0.0,0.0177,71,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,train
HRMY,2023-09-08,Open-label pitolisant,NCT05156047,0,1,0.0,0.4717,2,0.2773,0.0,0.0,1,1,1.0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,train
ABBV,2023-09-11,Upadacitinib,NCT04195698,0,10,0.0,0.0128,87,0.2773,0.0,0.0,0,0,1.0,0,1,0,0.0,0,0,0,0,0,1,0,0,0,0,train
BMY,2023-09-11,BMS-986278,NCT04308681,0,1,0.0,0.084,99,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,train
CRNX,2023-09-11,paltusotine,NCT07087054,1,1,0.0,0.244,3,0.2773,0.0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
RHHBY,2023-09-16,Acalabrutinib,NCT03788291,0,1,0.0,0.0404,109,0.2773,0.0,0.0,0,0,1.0,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,train
GILD,2023-09-18,Sacituzumab Govitecan-hziy,NCT03901339,0,1,0.0,0.052,38,0.2773,0.0,0.0,0,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
RYTM,2023-09-18,Setmelanotide,NCT04966741,0,6,0.0,0.0628,8,0.2773,0.0,0.0,0,1,1.0,0,1,0,1.0,1,0,0,0,0,0,0,0,0,0,train
ESLA,2023-09-20,elacestrant,NCT07242352,0,1,0.0,0.0312,1,0.2773,0.0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
SLNO,2023-09-26,DCCR,NCT03440814,1,1,0.0,0.1456,1,0.2773,0.0,0.0,1,1,1.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,train
IMVT,2023-09-26,IMVT-1402,NCT07039916,1,1,0.0,0.1762,1,0.2773,0.0,0.0,1,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
NVS,2023-10-02,LNP023,NCT04578834,0,5,0.0,0.0354,132,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,train
MRK,2023-10-02,Lenvatinib,NCT03884101,0,3,0.0,0.0476,117,0.2773,0.0,0.0,0,0,1.0,1,1,0,0.0,0,0,0,0,0,0,0,0,1,0,train
ALXO,2023-10-03,evorpacept,NCT05002127,1,1,0.0,0.2189,1,0.2773,0.0,1.0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
PMVP,2023-10-06,PC14586,NCT04585750,0,1,0.0,1.4276,1,0.2773,0.0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,0,0,0,0,0,1,0,train
VNDA,2023-10-09,Imsidolimab high dose,NCT05352893,0,1,0.0,0.5009,9,0.2773,0.0,0.0,1,0,1.0,0,0,0,1.0,0,0,1,0,0,0,0,0,0,0,train
BNTC,2023-10-10,BB-301,NCT06185673,0,1,0.0,0.5056,2,0.2773,0.0,0.0,0,1,0.0,0,1,0,1.0,1,0,0,0,0,0,0,0,0,0,train
RHHBY,2023-10-11,Faricimab,NCT04432831,0,5,0.0,0.0404,110,0.2773,0.0,0.0,0,0,1.0,0,1,0,0.0,0,0,0,1,0,0,0,0,0,0,train
ABBV,2023-10-12,Upadacitinib,NCT04927975,0,11,0.0,0.0128,88,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,train
NUVL,2023-10-13,NVL-655,NCT05384626,0,1,0.0,0.1733,1,0.2773,0.0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
AZN,2023-10-16,Durvalumab + SoC chemotherapy,NCT04385368,0,1,0.0,0.0177,72,0.2773,0.0,0.0,1,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
RHHBY,2023-10-19,RG7774,NCT04265261,0,1,0.0,0.0404,111,0.2773,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,train
AZN,2023-10-20,Durvalumab plus chemotherapy,NCT04449861,0,1,0.0,0.0177,73,0.2773,0.0,0.0,0,0,1.0,1,1,0,0.0,0,0,0,0,0,0,0,0,1,0,train
KURA,2023-10-21,Tipifarnib,NCT03719690,0,4,0.0,0.7236,4,0.2773,0.0,0.0,0,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
SRPT,2023-10-30,Elevidys,NCT05881408,0,1,0.0,0.535,2,0.2773,0.0,1.0,1,1,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,train
SRPT,2023-10-04,delandistrogene moxeparvovec,NCT05096221,0,1,0.0,0.535,3,0.2773,0.0,0.0,1,1,1.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,train
TNXP,2023-10-31,TNX-601 ER,NCT05686408,0,1,0.0,1.0644,6,0.2773,0.0,0.0,1,1,1.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,train
HURA,2023-10-31,VAL-083,NCT03970447,1,1,0.0,0.0286,1,0.2773,0.0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
CLLS,2023-11-02,UCART22 and UCART20x22,NCT04150497,0,1,0.0,0.1337,1,0.2773,0.0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,0,0,0,0,0,1,0,train
MIRA,2023-11-05,sonelokimab,NCT03384745,0,2,0.0,0.141,2,0.2773,0.0,0.0,1,0,1.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,train
AURA,2023-11-06,belzupacap sarotalocan (bel-sar),NCT06007690,0,1,0.0,0.4329,1,0.2773,0.0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,train
VTYX,2023-11-07,VTX958,NCT05655299,1,1,0.0,0.1922,1,0.2773,0.0,0.0,1,0,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,train
