ticker,event_date,drug_name,nct_id,target_large_move,feat_asset_event_sequence_num,feat_asset_trial_share,feat_cash_runway_proxy,feat_company_event_sequence_num,feat_company_historical_hit_rate,feat_ctgov_asset_maturity_score,feat_ctgov_n_late_stage_trials_sponsor,feat_ctgov_pipeline_maturity_score,feat_days_to_primary_completion,feat_design_quality_score,feat_enrollment_log,feat_lead_asset_dependency_score,feat_log_market_cap,feat_n_trials_for_company,feat_n_unique_drugs_for_company,feat_phase_num,feat_pipeline_depth_score,feat_pivotal_proxy_score,feat_regulatory_stage_score,feat_time_since_last_asset_event,feat_time_since_last_company_event,feat_trial_quality_score,feat_volatility,feat_active_not_recruiting_at_event_flag,feat_blinded_flag,feat_breakthrough_flag,feat_cns_flag,feat_completed_at_event_flag,feat_controlled_flag,feat_fast_track_flag,feat_has_predictive_biomarker,feat_late_stage_flag,feat_nda_bla_flag,feat_oncology_flag,feat_open_label_flag,feat_orphan_flag,feat_primary_completion_imminent_30d,feat_primary_completion_imminent_90d,feat_primary_endpoint_known_flag,feat_priority_review_flag,feat_randomized_flag,feat_rare_disease_flag,feat_recent_ctgov_update_flag,feat_single_asset_company_flag,feat_small_trial_flag,feat_targeted_therapy_exists,feat_terminated_at_event_flag,feat_withdrawn_at_event_flag,feat_mesh_level1_encoded,feat_therapeutic_superclass_CNS,feat_therapeutic_superclass_Cardiovascular,feat_therapeutic_superclass_Dermatology,feat_therapeutic_superclass_Endocrine/Metabolic,feat_therapeutic_superclass_GI/Hepatology,feat_therapeutic_superclass_Immunology,feat_therapeutic_superclass_Infectious Disease,feat_therapeutic_superclass_Musculoskeletal,feat_therapeutic_superclass_Oncology,feat_therapeutic_superclass_Other,feat_therapeutic_superclass_Respiratory,feat_genetic_basis_monogenic,feat_genetic_basis_none,feat_genetic_basis_polygenic,feat_genetic_basis_somatic,feat_genetic_basis_unknown,split
VERA,2023-01-04,atacicept,NCT04716231,1,1,0.5,0.1718,2,0.0,3.9001,6.0,3.0237,864.0,5.0,5.932245187448011,0.7,3.4617385679564108,2,2,3.0,1.0394,2.5,1,244.0,326.0,6.0,7.32,1.0,1,0,0,0.0,1,0,0,1.0,0,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
GERN,2023-01-04,imetelstat,NCT02598661,1,1,0.5,0.3355,2,0.0,3.4674,9.0,2.6186,283.0,3.5,5.66988092298052,0.7,3.030356805310842,2,2,2.5,1.0394,2.5,2,244.0,1713.0,3.5,5.22,0.0,0,0,0,0.0,1,0,1,1.0,1,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,train
MDGL,2023-01-06,Resmetirom,NCT04197479,0,1,0.5,0.1003,2,0.0,2.0125,7.0,2.1213,1.0,5.0,7.203405521083095,0.7,3.9917265553331727,2,2,3.0,1.0394,2.0,0,244.0,1898.0,5.0,11.42,1.0,0,0,0,0.0,1,0,0,1.0,0,0,0,0,1.0,1.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,train
ATAI,2023-01-06,PCN-101,NCT05414422,1,1,1.0,0.0869,1,0.0,0.7071,1.0,0.7071,-56.0,3.0,4.634728988229636,1.0,3.120080134129453,1,1,2.0,0.2773,0.0,0,244.0,127.0,4.0,7.79,0.0,1,0,1,1.0,1,0,0,0.0,0,0,0,0,0.0,0.0,0,0,1.0,0,0.0,1,0.0,0,0.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
AKBA,2023-01-06,Vadadustat,NCT04707768,0,7,1.0,0.5316,7,0.0,4.2167,27.0,4.5519,1.0,5.0,6.124683390894205,1.0,2.541079767776629,7,1,3.0,3.2773,3.0,2,405.0,405.0,6.0,10.19,1.0,0,0,0,0.0,1,0,0,1.0,1,0,1,0,1.0,1.0,0,0,1.0,0,0.0,1,0.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,train
SOPH,2023-01-10,margetuximab,NCT02492711,0,1,0.3333,0.2673,3,0.0,2.0207,27.0,4.4809,-516.0,5.0,6.437751649736401,0.4,2.4847268042986617,3,3,3.0,1.1545,2.0,0,244.0,215.0,5.0,12.87,0.0,0,0,0,1.0,1,0,1,1.0,0,1,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,1,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,train
ORMP,2023-01-12,ORMD-0801,NCT06731075,1,2,0.2857,0.9897,7,0.0,3.8806,16.0,4.0018,1566.0,4.0,5.707110264748875,0.2,2.133858125203335,7,6,3.0,1.3784,3.0,2,217.0,193.0,5.0,13.12,0.0,1,0,0,0.0,1,0,0,1.0,1,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,train
MRK,2023-01-18,Pembrolizumab,NCT03820986,0,32,0.35,0.0476,111,0.0,1.3562,67.0,1.2566,1.0,5.0,6.51471269087253,0.2,5.485908161342839,140,55,3.0,4.6101,2.0,0,106.0,25.0,6.0,1.73,1.0,0,0,0,0.0,1,0,1,1.0,0,1,0,0,1.0,1.0,0,0,1.0,0,0.0,0,0.0,1,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,train
GLPG,2023-01-19,Filgotinib,NCT02065700,0,3,0.375,1.3516,8,0.0,5.6955,42.0,3.8586,1.0,1.0,6.606650186198215,0.2,3.3459811218263047,8,5,2.0,1.3167,0.0,0,68.0,68.0,1.0,2.16,1.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0,1.0,1.0,0,0,0.0,0,0.0,0,0.0,1,0.0,0.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
SNY,2023-01-19,CYD Dengue Vaccine,NCT02741128,0,2,0.0274,0.0653,60,0.0,4.8,93.0,4.8477,1.0,3.0,4.897839799950911,0.2,5.070103283062297,73,64,2.0,4.6698,0.0,0,994.0,21.0,3.0,1.58,1.0,0,0,0,0.0,1,0,0,0.0,0,0,0,0,1.0,1.0,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,train
