ticker,event_date,drug_name,nct_id,target_large_move,feat_asset_event_sequence_num,feat_asset_trial_share,feat_cash_runway_proxy,feat_company_event_sequence_num,feat_days_to_primary_completion,feat_design_quality_score,feat_enrollment_log,feat_lead_asset_dependency_score,feat_log_market_cap,feat_n_trials_for_company,feat_n_unique_drugs_for_company,feat_phase_num,feat_pipeline_depth_score,feat_pivotal_proxy_score,feat_regulatory_stage_score,feat_time_since_last_asset_event,feat_time_since_last_company_event,feat_trial_quality_score,feat_volatility,feat_active_not_recruiting_flag,feat_blinded_flag,feat_breakthrough_flag,feat_cns_flag,feat_completed_flag,feat_fast_track_flag,feat_late_stage_flag,feat_nda_bla_flag,feat_oncology_flag,feat_open_label_flag,feat_orphan_flag,feat_ownership_low_flag,feat_primary_completion_imminent_30d,feat_primary_completion_imminent_90d,feat_randomized_flag,feat_rare_disease_flag,feat_recent_asset_event_flag,feat_recent_company_event_flag,feat_recent_completion_flag,feat_short_squeeze_flag,feat_single_asset_company_flag,feat_small_trial_flag,feat_mesh_level1_encoded,feat_therapeutic_superclass_CNS,feat_therapeutic_superclass_Cardiovascular,feat_therapeutic_superclass_Dermatology,feat_therapeutic_superclass_Endocrine/Metabolic,feat_therapeutic_superclass_GI/Hepatology,feat_therapeutic_superclass_Immunology,feat_therapeutic_superclass_Infectious Disease,feat_therapeutic_superclass_Musculoskeletal,feat_therapeutic_superclass_Oncology,feat_therapeutic_superclass_Other,feat_therapeutic_superclass_Respiratory,feat_event_proximity_bucket_future_far,feat_event_proximity_bucket_future_near,feat_event_proximity_bucket_just_completed,feat_event_proximity_bucket_past,feat_event_proximity_bucket_unknown,feat_completion_recency_bucket_far_180_plus,feat_completion_recency_bucket_imminent_0_30,feat_completion_recency_bucket_medium_91_180,feat_completion_recency_bucket_near1_90,feat_completion_recency_bucket_past,feat_completion_recency_bucket_unknown,split
MRK,2007-05-10,"Gardasil, human papillomavirus (type 6, 11, 16, 18) recombinant vaccine",NCT00092534,0,1,0.0208,0.0476,1,82.0,5.0,9.406564833939129,0.2,5.485908161342839,48,19,3.0,4.1983,2.0,0,156.5,95.0,6.0,1.63,0.0,1,0,0,1.0,0,1.0,0,1,0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,train
LLY,2013-08-13,Necitumumab,NCT00981058,0,1,0.0345,0.0073,1,-57.0,5.0,6.9975959829819265,0.2,5.996687893411713,29,15,3.0,4.109,2.0,0,156.5,95.0,5.0,1.48,0.0,0,0,0,1.0,0,1.0,0,1,1,0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,train
NRC,2014-02-15,AZD6244,NCT01306045,0,1,0.0556,0.0135,1,-3.0,1.0,6.473890696352274,0.2,2.4825877695267677,18,18,2.0,4.1778,0.0,0,156.5,95.0,1.0,5.61,0.0,0,0,0,1.0,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,train
NRC,2015-01-29,Sunitinib,NCT01621568,0,1,0.0556,0.0135,2,2283.0,-1.0,4.04305126783455,0.2,2.4825877695267677,18,18,2.0,4.1778,0.0,0,156.5,348.0,-1.0,5.59,0.0,0,0,0,1.0,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,train
NRC,2015-03-10,Dinutuximab,NCT02484443,0,1,0.0556,0.0135,3,1848.0,0.0,3.737669618283368,0.2,2.4825877695267677,18,18,2.0,4.1778,1.0,2,156.5,40.0,0.0,3.51,0.0,0,0,0,1.0,0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,train
BMY,2015-03-12,Abatacept,NCT01844518,0,1,0.0455,0.084,1,0.0,2.0,5.393627546352362,0.2,5.103854670626923,22,10,3.0,3.9592,1.5,0,156.5,95.0,2.0,2.15,0.0,0,0,0,1.0,0,1.0,0,0,1,0,0.0,1.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,train
AZN,2016-04-04,Olaparib,NCT01924533,0,1,0.16,0.0177,1,0.0,5.0,6.26530121273771,0.2,5.509413030177646,25,21,3.0,4.2364,2.0,0,156.5,95.0,6.0,1.58,0.0,1,0,0,1.0,0,1.0,0,1,0,0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,train
AZN,2016-04-15,Chemotherapy,NCT02151981,0,1,0.04,0.0177,2,0.0,5.0,6.045005314036012,0.2,5.509413030177646,25,21,3.0,4.2364,2.0,0,156.5,11.0,5.0,1.65,0.0,0,0,0,1.0,0,1.0,0,1,1,0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,train
AZN,2016-06-03,MEDI4736,NCT02087423,0,1,0.04,0.0177,3,0.0,1.0,6.102558594613569,0.2,5.509413030177646,25,21,2.0,4.2364,0.0,0,156.5,49.0,1.0,1.62,0.0,0,0,0,1.0,0,0.0,0,1,1,0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,train
MRK,2016-06-04,Pembrolizumab,NCT02775435,0,1,0.4167,0.0476,2,668.0,5.0,6.327936783729195,0.2,5.485908161342839,48,19,3.0,4.1983,3.0,2,156.5,3313.0,6.0,1.3,0.0,1,0,0,1.0,0,1.0,1,1,0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,train
