ticker,event_date,event_type,move_pct,price_at_event,catalyst_summary,drug_name,nct_id,indication,is_pivotal,pivotal_evidence,primary_endpoint_met,primary_endpoint_result,ct_official_title,ct_phase,ct_enrollment,ct_conditions,ct_status,ct_sponsor,ct_allocation,ct_primary_completion,market_cap_m,current_price,cash_position_m,short_percent,institutional_ownership,analyst_target,analyst_rating,atr_pct,stock_movement_atr_normalized,avg_daily_move,move_class_abs,move_class_norm,move_class_combo,event_trading_date,move_2d_pct,price_before,price_after,stock_relative_move,data_complete,v_is_verified,v_actual_date,v_pr_link,v_pr_date,v_pr_title,v_pr_key_info,v_is_material,v_confidence,v_summary,v_error,v_action,best_event_link,mesh_level1,mesh_level1_reason,mesh_branches_raw,mesh_terms_raw,ct_conditions_raw,stale_price_data,mesh_level1_encoded,row_ready,row_not_ready_reason,mesh_recovery_method,mesh_source_term,mesh_resolution_method,mesh_inference_reason,target_abs_move_atr,target_move_bucket,target_large_move,feat_phase_num,feat_late_stage_flag,feat_mesh_level1_encoded,feat_log_market_cap,feat_short_squeeze_flag,feat_ownership_low_flag,feat_volatility,feat_days_to_primary_completion,feat_event_proximity_bucket,feat_active_not_recruiting_flag,feat_design_quality_score,feat_n_trials_for_company,feat_n_unique_drugs_for_company,feat_single_asset_company_flag,feat_lead_asset_dependency_score,feat_n_late_stage_trials_for_company,feat_pipeline_concentration_simple,feat_orphan_flag,feat_fast_track_flag,feat_breakthrough_flag,feat_nda_bla_flag,feat_priority_review_flag,feat_regulatory_stage_score,feat_enrollment_log,feat_randomized_flag,feat_controlled_flag,feat_withdrawn_flag,feat_terminated_flag,feat_trial_quality_score,feat_prior_mean_abs_move_atr_by_phase,feat_prior_mean_abs_move_atr_by_therapeutic_superclass,feat_prior_mean_abs_move_atr_by_phase_x_therapeutic_superclass,feat_market_cap_bucket,feat_prior_mean_abs_move_atr_by_market_cap_bucket,feat_date_corrected_flag,feat_endpoint_outcome_score
CELC,2025-10-18,Gainer,35.84,70.58,"Celcuity announced Phase 3 VIKTORIA-1 trial results for gedatolisib in HR+/HER2- advanced breast cancer showing superior efficacy and safety versus standard of care, driving a 35.8% single-day gain on October 20, 2025.",gedatolisib,NCT03742349,HR+/HER2- advanced breast cancer,True,NDA submitted to FDA in November 2025 seeking approval based on these results; FDA decision expected in 2026,Yes,Demonstrated superior efficacy and safety versus standards of care; unprecedented efficacy results in HR+/HER2- patients previously treated with CDK4/6 inhibitors,"A Phase Ib, Multicenter, Open-label Dose Escalation and Expansion Platform Study of Select Immunotherapy Combinations in Adult Patients With Triple-negative Breast Cancer",Phase 1,64.0,Triple Negative Breast Cancer (TNBC),TERMINATED,Novartis Pharmaceuticals,NON_RANDOMIZED,2023-02-06,285.4,23.45,142.7,12.3,78.5,28.5,Buy,6.06,5.91,3.63,High,High,High,2025-10-20,35.84,51.96,70.58,High,True,False,2025-10-18,https://www.globenewswire.com/news-release/2025/12/11/3204248/0/en/Celcuity-Presents-Updated-Results-from-the-PIK3CA-Wild-Type-Cohort-of-the-Phase-3-VIKTORIA-1-Trial-at-the-2025-San-Antonio-Breast-Cancer-Symposium.html,"February 25, 2026 16:01 ET | Source: Celcuity Inc.",Celcuity Presents Updated Results from the PIK3CA Wild-Type Cohort of the Phase 3 VIKTORIA-1 Trial at the 2025 San Antonio Breast Cancer Symposium,"For patients whose time to progression on immediate prior therapy was >18 months, median progression-free survival (“PFS”) was 12.4 months with gedatolisib + palbociclib + fulvestrant (“gedatolisib triplet”) and 10.0 months with gedatolisib + fulvestrant (“gedatolisib doublet”) versus 1.9 months for fulvestrant For patients enrolled in the U.S., Canada, Western Europe, and Asia Pacific, median PFS was 16.6 months with the gedatolisib triplet and 7.1 months with the gedatolisib doublet versus 1.9 months for fulvestrant Measures to mitigate stomatitis were generally effective; most patients expe",True,high,"Celcuity announced Phase 3 VIKTORIA-1 trial results for gedatolisib on 2025-10-18 (not 2025-10-20) at ESMO Congress, showing superior efficacy versus fulvestrant in HR+/HER2- advanced breast cancer with median PFS of 9.3 months for gedatolisib triplet versus 2.0 months for control.",,DATE_FIXED,,Neoplasms,condition_match,Neoplasms | Skin Diseases,Triple Negative Breast Neoplasms | Neoplasm Metastasis,Triple Negative Breast Cancer (TNBC),False,1,True,,,,,,5.91,3.0,1,1.0,0.0,1,2.4554539687786283,0.0,0.0,6.06,-985.0,past,0.0,-1.0,1,1,1,1.0,0,0.0,0,0,0,1,0,2,4.174387269895637,0.0,0,0,1,-3.0,4.707536231884058,2.5680341880341877,4.272333333333333,micro,3.960375,1,1.0
ALNY,2024-08-30,Loser,-8.47,262.69,"Alnylam Pharmaceuticals reported positive Phase III HELIOS-B trial results for vutrisiran in ATTR amyloidosis with cardiomyopathy, achieving a 28% reduction in all-cause mortality and recurrent cardiovascular events in the overall population and 33% reduction in monotherapy populations, with statistically significant improvements across all secondary endpoints.",vutrisiran,NCT04153149,ATTR amyloidosis with cardiomyopathy (ATTR-CM),True,"Alnylam plans to proceed with global regulatory submissions starting later this year, including filing a supplemental New Drug Application with the FDA using a Priority Review Voucher.",Yes,28% reduction in composite of all-cause mortality and recurrent cardiovascular events (overall population); 33% reduction in monotherapy populations,"HELIOS-B: A Phase 3, Randomized, Double-blind, Placebo-controlled, Multicenter Study to Evaluate the Efficacy and Safety of Vutrisiran in Patients With Transthyretin Amyloidosis With Cardiomyopathy (ATTR Amyloidosis With Cardiomyopathy)",Phase 3,655.0,Transthyretin Amyloidosis (ATTR) With Cardiomyopathy,ACTIVE_NOT_RECRUITING,Alnylam Pharmaceuticals,RANDOMIZED,2024-05-08,41696.71,314.4,2908.48,0.05,1.03,459.4,buy,3.09,2.74,1.76,VeryLow,Low,Medium,2024-08-30,-11.58,287.01,253.78,High,True,False,2024-08-30,https://investors.alnylam.com/press-release?id=28411,"Aug 30, 2024",Alnylam Presents Detailed Results from the Positive HELIOS-B Phase 3 Study of Vutrisiran▼ in Patients with A,"Alnylam Pharmaceuticals Press Release | Aug 30, 2024",True,high,"Alnylam reported positive Phase 3 HELIOS-B results for vutrisiran on August 30, 2024, showing a 28% reduction in all-cause mortality and recurrent cardiovascular events in the overall population, not on June 24, 2024.",,DATE_FIXED,,Cardiovascular Diseases,single_branch,Cardiovascular Diseases,"Amyloidosis, Hereditary, Transthyretin-Related | Cardiomyopathies | Amyloidosis | Amyloidosis, Familial",Transthyretin Amyloidosis (ATTR) With Cardiomyopathy,False,7,True,,,,,,2.74,1.0,0,3.0,1.0,7,4.6201017891413,0.0,1.0,3.09,-114.0,just_completed,1.0,5.0,3,2,0,0.7,3,0.7,0,0,0,1,1,3,6.486160788944089,1.0,1,0,0,6.0,2.2662229102167184,2.3680000000000003,2.8552173913043477,large,1.1563522012578618,1,1.0
KRYS,2026-01-08,Gainer,1.03,248.91,"Krystal Biotech reported positive interim clinical update from the highest-dose cohort of its phase I CORAL-1 study evaluating KB407 in cystic fibrosis patients, confirming successful lung delivery and expression of full-length, wild-type CFTR protein following inhaled administration.",KB407,NCT05095246,Cystic Fibrosis,False,,Yes,"Successful lung delivery and expression of full-length, wild-type CFTR protein","A Phase I Study of Inhaled KB407, a Replication-Incompetent, Non-Integrating Vector Expressing Human Cystic Fibrosis Transmembrane Conductance Regulator (CFTR), for the Treatment of Cystic Fibrosis",Phase 1,0.0,Cystic Fibrosis,WITHDRAWN,"Krystal Biotech, Inc.",NON_RANDOMIZED,2024-07-01,2850.0,48.25,920.0,7.2,92.5,65.5,Strong Buy,3.13,0.33,1.38,VeryLow,Noise,Low,2026-01-08,6.1,246.37,261.41,High,True,False,2026-01-08,https://www.globenewswire.com/news-release/2026/01/08/3215774/0/en/Krystal-Biotech-Announces-Positive-Interim-Clinical-Update-from-KB407-Phase-1-CORAL-1-Study-with-Confirmation-of-Wild-Type-CFTR-Delivery-to-the-Lungs-of-Patients-with-Cystic-Fibros.html,"February 24, 2026 08:00 ET | Source: Krystal Biotech, Inc.",Krystal Biotech Announces Positive Interim Clinical Update from KB407 Phase 1 CORAL-1 Study with Confirmation of Wild-Type CFTR Delivery to the Lungs of Patients with Cystic Fibrosis,Confirmed wild-type CFTR delivery and expression in conducting airway cells of patients with class I mutations KB407 transduction confirmed in all six patients with successful bronchoscopies irrespective of modulator-status; percentage of conducting airway cells transduced in each patient ranged from 29.4% to 42.1% Registrational repeat dosing CORAL-3 study design submitted to FDA in late December; anticipating enrollment in study to start in 1H 2026 following alignment with the FDA Investor call to be held January 8 at 4:30 pm ET to discuss data update and timelines for KB407 repeat dosing st,True,high,"Krystal Biotech announced positive interim results from the highest-dose cohort of CORAL-1 Phase 1 study on January 8, 2026 (not February 26, 2024), confirming CFTR expression in 29.4%-42.1% of conducting airway cells across 6 CF patients with generally mild/moderate safety profile.",,DATE_FIXED,,Respiratory Tract Diseases,condition_match,Respiratory Tract Diseases | Digestive System Diseases,Cystic Fibrosis,Cystic Fibrosis,False,5,True,,,,,,0.33,0.0,0,1.0,0.0,5,3.45484486000851,0.0,0.0,3.13,-556.0,past,0.0,-1.0,2,2,0,0.7,0,0.0,0,0,0,1,0,2,0.0,0.0,0,1,0,-3.0,4.707536231884058,3.276029411764706,3.713333333333334,mid,4.86664,1,1.0
QURE,2025-09-24,Gainer,247.73,47.5,"uniQure announced interim Phase I/II clinical trial data for AMT-130 showing 80% slowing of disease progression in high-dose patients and 30% in low-dose patients at 24 months, with an 11% mean reduction in CSF NfL biomarker.",AMT-130,NCT04120493,Huntington's disease,False,,Yes,"80% slowing in high-dose group, 30% slowing in low-dose group, 11% mean reduction in CSF NfL","A Phase 1/2, Randomized, Double-Blind, Sham Control and Open-Label Study to Explore Safety, Tolerability, and Efficacy Signals of Multiple Doses of Striatally-Administered rAAV5-miHTT Total Huntingtin Gene (HTT) Lowering Therapy (AMT-130) in Early Manifest Huntington's Disease",Phase 1/2,43.0,Huntington's Disease,ACTIVE_NOT_RECRUITING,UniQure Biopharma B.V.,NON_RANDOMIZED,2029-06,128.5,4.85,264.3,12.4,74.2,12.5,Buy,6.16,40.22,2.47,VeryHigh,Extreme,High,2025-09-24,285.43,13.66,52.65,High,True,False,2025-09-24,https://www.globenewswire.com/news-release/2025/09/24/3155348/0/en/uniQure-Announces-Positive-Topline-Results-from-Pivotal-Phase-I-II-Study-of-AMT-130-in-Patients-with-Huntington-s-Disease.html,"March 02, 2026 07:05 ET | Source: uniQure Inc.",uniQure Announces Positive Topline Results from Pivotal Phase I/II Study of AMT-130 in Patients with Huntington’s Disease,"~ Pivotal study met primary endpoint; high-dose AMT-130 demonstrated statistically significant 75% disease slowing at 36 months as measured by cUHDRS compared to a propensity score-matched external control ~ ~ High-dose AMT-130 also demonstrated statistically significant slowing of disease progression as measured by TFC, a key secondary endpoint, and favorable trends across additional clinical measures ~ ~ Mean cerebrospinal fluid NfL levels were below baseline at 36 months ~ ~ AMT-130 continued to be generally well-tolerated with a manageable safety profile ~ ~ uniQure plans to submit a BLA i",True,high,"uniQure announced positive topline Phase 1/2 results for AMT-130 on 2025-09-24 showing 75% slowing of disease progression in high-dose patients at 36 months, not 80%/30% at 24 months as claimed on 2024-07-10.",,DATE_FIXED,,Nervous System Diseases,single_branch,Nervous System Diseases,Huntington Disease,Huntington's Disease,False,2,True,,,,,,40.22,4.0,1,1.5,0.0,2,2.108903127667314,0.0,0.0,6.16,1346.0,future_far,1.0,-1.0,4,1,1,1.0,0,0.0,0,0,0,1,0,2,3.784189633918261,0.0,1,0,0,0.0,3.483661971830986,4.396964285714286,8.135833333333332,micro,3.960375,1,1.0
ORIC,2025-11-13,Loser,-2.32,12.19,"ORIC Pharmaceuticals announced Phase 1b trial results for ORIC-944 showing 59% PSA50 response rate and 24% PSA90 response rate in metastatic castration-resistant prostate cancer patients, with favorable safety profile.",ORIC-944,NCT05413421,Metastatic castration-resistant prostate cancer (mCRPC),False,,Unclear,"59% PSA50 response rate; 24% PSA90 response rate; single Grade 3 diarrhea event, no Grade 4 or 5 treatment-related events","An Open-Label, Phase 1/1b Study of ORIC-944 as a Single Agent or in Combination With an Androgen Receptor Pathway Inhibitor in Patients With Metastatic Prostate Cancer",Phase 1,250.0,Metastatic Prostate Cancer,RECRUITING,ORIC Pharmaceuticals,NON_RANDOMIZED,2025-12,512.0,7.85,238.0,12.4,72.5,12.5,Buy,5.59,0.42,3.48,VeryLow,Noise,Low,2025-11-13,-1.84,12.48,12.25,Medium,True,False,2025-11-13,https://www.globenewswire.com/news-release/2025/11/13/3187843/0/en/ORIC-Pharmaceuticals-Announces-Completion-of-Dose-Exploration-Portion-of-ORIC-944-Phase-1b-Clinical-Trial-and-Continues-to-Demonstrate-Potential-Best-in-Class-Efficacy-and-Safety.html,"March 06, 2026 16:30 ET | Source: ORIC Pharmaceuticals",ORIC® Pharmaceuticals Announces Completion of Dose Exploration Portion of ORIC-944 Phase 1b Clinical Trial and Continues to Demonstrate Potential Best-in-Class Efficacy and Safety,"Efficacy data remain consistent with prior disclosure and continue to demonstrate broad and deep PSA responses, with 55% PSA50 response rate and 20% PSA90 response rate Rapid and deep ctDNA reductions were observed in 76% of patients and ctDNA clearance was observed in 59% of patients, underscoring potential for long-term treatment and survival benefit PSA responses and ctDNA reductions were observed across all ORIC-944 dose levels and at comparable rates in combination with apalutamide or with darolutamide Both combination regimens continue to demonstrate a safety and tolerability profile com",False,high,"ORIC announced Phase 1b dose exploration results for ORIC-944 on 2025-11-13 showing 55% PSA50 and 20% PSA90 response rates in mCRPC (not 59%/24% as claimed), referencing prior May 2025 data; no clinical news found for 2025-05-29.",,DATE_FIXED,,Neoplasms,single_branch,Neoplasms,Prostatic Neoplasms,Metastatic Prostate Cancer,False,1,True,,,,,,0.42,0.0,0,1.0,0.0,1,2.709269960975831,0.0,0.0,5.59,18.0,future_near,0.0,0.0,1,1,1,1.0,0,0.0,0,0,0,0,0,0,5.5254529391317835,0.0,0,0,0,0.0,4.707536231884058,2.5680341880341877,4.272333333333333,small,3.972827586206896,1,0.0
VRCA,2024-08-14,Loser,-40.8,31.2,"Verrica Pharmaceuticals announced Phase II trial results for VP-315 in basal cell carcinoma showing 51% complete histologic clearance, but the stock fell 40.79% on August 14, 2024, suggesting investor disappointment with the efficacy results.",VP-315,NCT05188729,Basal Cell Carcinoma,False,,Unclear,51% complete histologic clearance; 71% reduction in tumor size for residual tumors,"A Phase 2, Multicenter, Open-label, Proof-of-concept Study With Safety Run-in to Evaluate the Safety, Pharmacokinetics, and Efficacy of VP-315 in Adult Subjects With Basal Cell Carcinoma",Phase 2,92.0,"Basal Cell Carcinoma; Skin Cancer; Cancer of the Skin, Basal Cell; Cancer of the Skin; Carcinoma",COMPLETED,Verrica Pharmaceuticals Inc.,NON_RANDOMIZED,2024-04-15,28.5,1.23,42.1,3.2,45.7,5.5,Buy,9.66,4.22,3.68,High,Medium,High,2024-08-14,-44.78,52.7,29.1,High,True,False,2024-08-14,https://verrica.com/press_release/verrica-pharmaceuticals-announces-positive-preliminary-topline-results-from-part-2-of-phase-2-clinical-study-of-vp-315-an-investigational-oncolytic-peptide-based-immunotherapy-for-the-treatment-of-pat/,2024-08-14T07:30:42-04:00,Verrica Pharmaceuticals Announces Positive Preliminary Topline Results from Part 2 of Phase 2 Clinical Study of VP 315 an Investigational Oncolytic Peptide Based Immunotherapy for the Treatment of Patients with Basal Cell Carcinoma - Verrica Pharmaceuticals,VP 315 was well tolerated with no reported treatment related serious adverse events All patients treated with VP 315 had a reduction in tumor size with an overall reduction in tumor size of all lesions treated in Part 2,True,high,"Verrica announced Phase 2 VP-315 results on August 14, 2024 (not November 5, 2024), showing 51% complete histologic clearance in basal cell carcinoma; the claimed date is incorrect.",,DATE_FIXED,,Skin Diseases,single_branch,Skin Diseases,"Carcinoma, Basal Cell | Skin Neoplasms | Carcinoma | Neoplasms","Basal Cell Carcinoma | Skin Cancer | Cancer of the Skin, Basal Cell | Cancer of the Skin | Carcinoma",False,9,True,,,,,,4.22,2.0,0,2.0,0.0,9,1.4548448600085102,0.0,0.0,9.66,-121.0,just_completed,0.0,-1.0,2,2,0,0.7,1,0.35,0,0,0,0,0,0,4.532599493153256,0.0,0,0,0,-1.0,2.9694795539033456,2.1339130434782607,3.691818181818182,micro,3.960375,1,0.0
PRAX,2025-12-04,Gainer,2.05,189.97,"Praxis Precision Medicines announced positive interim results from the EMBOLD study of relutrigine in epilepsy on December 5, 2025, sparking a 29.49-30.5% stock surge amid favorable FDA meetings and promising trial outcomes.[1]",relutrigine,NCT07010471,epilepsy,True,,Unclear,,"A Phase 3, Randomized, Multi-Center, Double-Blind, Placebo-Controlled Clinical Trial to Evaluate the Efficacy, Safety, Tolerability, and Pharmacokinetics of Relutrigine in Participants With DEE Followed by an Open-Label Extension",Phase 3,160.0,Developmental and Epileptic Encephalopathy 1,RECRUITING,Praxis Precision Medicines,RANDOMIZED,2026-07,8800.16,317.25,267.16,0.14,0.94,572.88,strong_buy,7.47,0.27,4.68,VeryLow,Noise,Low,2025-12-04,33.22,186.15,247.99,High,True,False,2025-12-04,https://www.globenewswire.com/news-release/2025/12/04/3200330/0/en/Praxis-Precision-Medicines-Announces-Positive-Results-from-EMBOLD-Study-for-Relutrigine-in-SCN2A-and-SCN8A-Developmental-and-Epileptic-Encephalopathies.html,"March 04, 2026 16:01 ET | Source: Praxis Precision Medicines, Inc.",Praxis Precision Medicines Announces Positive Results from EMBOLD Study for Relutrigine in SCN2A and SCN8A Developmental and Epileptic Encephalopathies,"Successful interim analysis triggered early stop for efficacy Topline study results to be shared at the American Epilepsy Society Annual Meeting on December 6, 2025 Praxis confirms an upcoming meeting with the FDA to discuss the results and NDA path BOSTON, Dec. 04, 2025 (GLOBE NEWSWIRE) -- Praxis Precision Medicines , Inc. (NASDAQ: PRAX), a clinical-stage biopharmaceutical company translating genetic insights into the development of therapies for central nervous system (CNS) disorders characterized by neuronal excitation-inhibition imbalance, today announced positive results from the registra",True,high,"Praxis announced positive Phase 2 EMBOLD cohort 1 results for relutrigine in SCN2A/SCN8A DEEs on December 4, 2025 (not December 5), with early stop for efficacy, favorable safety, 46% placebo-adjusted motor seizure reduction, and upcoming FDA meeting; no clinical news on December 5.",,DATE_FIXED,,Nervous System Diseases,single_branch,Nervous System Diseases,Infantile Epileptic-Dyskinetic Encephalopathy | Epilepsy,Developmental and Epileptic Encephalopathy 1,False,2,True,,,,,,0.27,0.0,0,3.0,1.0,2,3.944490568341693,0.0,1.0,7.47,209.0,future_near,0.0,4.0,4,4,0,0.4,3,0.3,0,0,0,1,0,2,5.081404364984463,1.0,1,0,0,5.0,2.2662229102167184,4.396964285714286,3.925081967213115,large,1.1563522012578618,1,0.0
IMRX,2026-02-28,Gainer,0.2,5.0,"Immuneering reported updated Phase 2a data for atebimetinib + mGnP in first-line pancreatic cancer showing 64% 12-month overall survival (vs 35% historical benchmark), 39% confirmed ORR (vs 23%), 8.5 months median PFS (vs 5.5 months), but stock dropped due to lack of randomized control arm and long timeline to Phase 3.",atebimetinib (IMM-1-104),NCT05585320,first-line pancreatic cancer,False,,Unclear,,"A Phase 1/2a, Open-Label, Multicenter, Nonrandomized, Safety and Anti-tumor Activity Study of IMM-1-104, a Novel Oral Dual MEK1/2 Inhibitor in Participants With Advanced or Metastatic Solid Tumors",Phase 1/2,209.0,Advanced Solid Tumor; Pancreatic Adenocarcinoma; Malignant Melanoma (Cutaneous); Non-small Cell Lung Cancer (NSCLC),ACTIVE_NOT_RECRUITING,Immuneering Corporation,NON_RANDOMIZED,2026-06,45.2,1.23,28.5,12.4,23.7,5.5,Buy,5.71,0.04,2.97,VeryLow,Noise,Low,2026-03-02,0.2,4.99,5.0,High,True,False,2026-02-28,https://www.globenewswire.com/news-release/2026/03/06/3250985/0/en/Immuneering-Reports-Fourth-Quarter-and-Full-Year-2025-Financial-Results-and-Provides-Business-Updates.html,"March 02, 2026 16:05 ET | Source: Immuneering Corporation",Immuneering Reports Fourth Quarter and Full Year 2025 Financial Results and Provides Business Updates,"- 64% overall survival observed at 12 months in ongoing Phase 2a trial of atebimetinib + mGnP in first-line pancreatic cancer patients, well above the standard of care benchmark from GnP of 35% overall survival; On track for expanded pancreatic cancer cohort data readout in first half of 2026 - - On track to dose first patient in p ivotal Phase 3 MAPKeeper 301 trial of atebimetinib + mGnP in patients with first-line metastatic pancreatic cancer in mid-2026 - - Dosing in Phase 2 trial of atebimetinib + Libtayo ® in patients with first-line RAS-mutant non-small cell lung cancer expected to begin",True,high,"Immuneering reported the 64% 12-month OS data for atebimetinib + mGnP on 2026-02-28 (not 2026-01-08), with official financial results released 2026-03-06.",,DATE_FIXED,,Neoplasms,condition_match,Neoplasms | Respiratory Tract Diseases | Skin Diseases,"Melanoma, Cutaneous Malignant | Carcinoma, Non-Small-Cell Lung | Neoplasm Metastasis | Adenocarcinoma",Advanced Solid Tumor | Pancreatic Adenocarcinoma | Malignant Melanoma (Cutaneous) | Non-small Cell Lung Cancer (NSCLC),False,1,True,,,,,,0.04,0.0,0,1.5,0.0,1,1.6551384348113822,0.0,1.0,5.71,93.0,future_near,1.0,0.0,7,4,0,0.4,0,0.0,0,0,0,1,0,2,5.3471075307174685,0.0,0,0,0,0.0,3.483661971830986,2.5680341880341877,2.2888571428571427,micro,3.960375,1,0.0
SNSE,2025-10-17,Loser,-33.43,11.7,"Sensei Biotherapeutics announced favorable preliminary Phase 1/2 dose expansion data for Solnerstotug (SNS-101) showing durable responses and tumor shrinkage in PD-(L)1 resistant patients, with an objective response rate almost three times higher than historical PD-(L)1 rechallenge response rates.",Solnerstotug (SNS-101),NCT05864144,PD-(L)1 resistant solid tumors,False,,Unclear,ORR almost three times higher than historical PD-(L)1 rechallenge response rates,"A Phase 1/2, Open-label Study Evaluating the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Efficacy of SNS-101 (Anti VISTA) as Monotherapy and in Combination With Cemiplimab in Patients With Advanced Solid Tumors",Phase 1/2,98.0,"Solid Tumor, Adult; Advanced Solid Tumor; Head and Neck Cancer; Breast Cancer; Colon Cancer; Pancreatic Cancer; Gastric Cancer; Esophageal Cancer; Prostate Cancer; Uterine Cancer; Cervix Cancer; Ovarian Cancer; Kidney Cancer; Bladder Cancer; Thyroid Cancer; Melanoma; Sarcoma; Advanced Cancer; Metastatic Cancer; Refractory Cancer; Non Small Cell Lung Cancer; Merkel Cell Carcinoma",ACTIVE_NOT_RECRUITING,"Sensei Biotherapeutics, Inc.",NON_RANDOMIZED,2027-06,11.47,9.09,25.04,0.03,0.04,,none,6.29,5.31,4.63,High,High,High,2025-10-17,-37.3,17.575,11.02,High,True,False,2025-10-17,https://www.globenewswire.com/news-release/2025/10/17/3168569/0/en/Sensei-Biotherapeutics-Reports-New-Clinical-Results-Highlighting-Durable-Progression-Free-Survival-Data-for-Solnerstotug-in-PD-L-1-Resistant-Tumors-at-the-ESMO-Congress-2025.html,2025-10-17T12:00:00Z,Sensei Biotherapeutics Reports New Clinical Results Highlighting Durable Progression Free Survival Data for Solnerstotug in PD-(L)1 Resistant Tumors at the ESMO Congress 2025,"6-month progression-free survival (PFS) of 50% in the higher 15 mg/kg dose cohort compares favorably to historical PD-(L)1 refractory settings – All clinical responses, including a complete response, observed in the higher 15 mg/kg dose cohort – Favorable safety profile with six cases of mild, manageable grade 1 cytokine release syndrome ( CRS) across all patients treated to date, all of which occurred in the 15 mg/kg dose cohort – Data support advancement to Phase 2 studies, currently being planned in Non-Small Cell Lung Cancer and Merkel Cell Carcinoma – Sensei to host investor webcast Monda",True,high,"Sensei Biotherapeutics announced Phase 1/2 dose expansion results for Solnerstotug on October 17, 2025 (not August 1, 2025), showing 50% 6-month PFS at 15 mg/kg dose and durable responses in PD-(L)1 resistant tumors.",,DATE_FIXED,,Respiratory Tract Diseases,condition_match,Respiratory Tract Diseases | Digestive System Diseases | Endocrine System Diseases | Skin Diseases | Infectious Diseases,"Head and Neck Neoplasms | Breast Neoplasms | Colonic Neoplasms | Pancreatic Neoplasms | Stomach Neoplasms | Esophageal Neoplasms | Prostatic Neoplasms | Uterine Neoplasms | Uterine Cervical Neoplasms | Ovarian Neoplasms | Kidney Neoplasms | Urinary Bladder Neoplasms | Thyroid Neoplasms | Melanoma | Sarcoma | Neoplasm Metastasis | Neoplasms | Carcinoma, Non-Small-Cell Lung | Carcinoma, Merkel Cell","Solid Tumor, Adult | Advanced Solid Tumor | Head and Neck Cancer | Breast Cancer | Colon Cancer | Pancreatic Cancer | Gastric Cancer | Esophageal Cancer | Prostate Cancer | Uterine Cancer | Cervix Cancer | Ovarian Cancer | Kidney Cancer | Bladder Cancer | Thyroid Cancer | Melanoma | Sarcoma | Advanced Cancer | Metastatic Cancer | Refractory Cancer | Non Small Cell Lung Cancer | Merkel Cell Carcinoma",False,5,True,,,,,,5.31,3.0,1,1.5,0.0,5,1.0595634179012676,0.0,1.0,6.29,592.0,future_far,1.0,-1.0,3,2,0,0.7,0,0.0,0,0,0,1,0,2,4.59511985013459,0.0,0,0,0,-1.0,3.483661971830986,3.276029411764706,2.44,micro,3.960375,1,0.0
IRWD,2025-01-29,Loser,-2.11,3.72,"Ironwood Pharmaceuticals' stock dropped 38.2% on January 30, 2025, due to disappointing Phase 3 apraglutide trial results for short bowel syndrome, with the FDA requiring an additional confirmatory phase III study, delaying NDA submission.",apraglutide,NCT04627025,short bowel syndrome (SBS) with intestinal failure (IF),True,confirmatory phase III study will be required to seek approval,No,,"A Multicenter, Double-blind, Randomized, Placebo-controlled Trial to Evaluate the Efficacy and Safety of Apraglutide in Adult Subjects With Short Bowel Syndrome and Intestinal Failure (SBS-IF)",Phase 3,164.0,Short Bowel Syndrome,COMPLETED,VectivBio AG,RANDOMIZED,2024-01-02,732.05,4.5,140.41,0.09,0.97,4.85,none,7.45,0.28,3.15,VeryLow,Noise,Low,2025-01-29,-39.47,3.8,2.3,High,True,False,2025-01-29,https://investor.ironwoodpharma.com/press-releases/press-release-details/2025/Ironwood-Pharmaceuticals-Initiates-Apraglutide-NDA-Submission-Highlights-Compelling-New-Data-and-Updates-Corporate-Structure-to-Position-for-the-Future/default.aspx,,"Ironwood Pharmaceuticals Initiates Apraglutide NDA Submission, Highlights Compelling New Data and Updates Corporate Structure to Position for the Future","– Data from open label extension study of apraglutide demonstrate further increase in patients achieving enteral autonomy – – Initiated rolling NDA submission, now to include long-term extension data given continued clinical improvement over time, with submission completion expected in Q3 2025 – – Organizational restructuring positions the Company to realize the potential of apraglutide in SBS and long-term success in GI and rare disease – – Expects adjusted EBITDA excluding stock-based compensation of greater than $85 million in 2025, driven by strong LINZESS prescription demand growth and ex",True,high,"On January 29, 2025, Ironwood announced positive open-label extension data for apraglutide showing increased enteral autonomy and initiated a rolling NDA submission, not disappointing Phase 3 results or an FDA requirement for a confirmatory trial.",,DATE_FIXED,,Digestive System Diseases,single_branch,Digestive System Diseases,Short Bowel Syndrome | Intestinal Failure,Short Bowel Syndrome,False,8,True,,,,,,0.28,0.0,0,3.0,1.0,8,2.864540744968919,0.0,1.0,7.45,-393.0,past,0.0,4.0,2,1,1,1.0,2,1.0,0,0,0,1,0,2,5.10594547390058,1.0,1,0,0,5.0,2.2662229102167184,2.1978378378378376,3.75375,small,3.972827586206896,1,-1.0
