feature_name,type,n_valid,n_null,pct_valid
target_abs_move_atr,target,825,2,99.8
target_move_bucket,target,825,2,99.8
target_large_move,target,827,0,100.0
feat_phase_num,feat,774,53,93.6
feat_late_stage_flag,feat,774,53,93.6
feat_mesh_level1_encoded,feat,827,0,100.0
feat_log_market_cap,feat,827,0,100.0
feat_short_squeeze_flag,feat,797,30,96.4
feat_ownership_low_flag,feat,824,3,99.6
feat_volatility,feat,825,2,99.8
feat_days_to_primary_completion,feat,780,47,94.3
feat_event_proximity_bucket,feat,827,0,100.0
feat_active_not_recruiting_flag,feat,784,43,94.8
feat_design_quality_score,feat,784,43,94.8
feat_n_trials_for_company,feat,827,0,100.0
feat_n_unique_drugs_for_company,feat,827,0,100.0
feat_single_asset_company_flag,feat,827,0,100.0
feat_lead_asset_dependency_score,feat,827,0,100.0
feat_n_late_stage_trials_for_company,feat,827,0,100.0
feat_pipeline_concentration_simple,feat,827,0,100.0
feat_orphan_flag,feat,827,0,100.0
feat_fast_track_flag,feat,827,0,100.0
feat_breakthrough_flag,feat,827,0,100.0
feat_nda_bla_flag,feat,827,0,100.0
feat_priority_review_flag,feat,827,0,100.0
feat_regulatory_stage_score,feat,827,0,100.0
feat_enrollment_log,feat,784,43,94.8
feat_randomized_flag,feat,667,160,80.7
feat_controlled_flag,feat,827,0,100.0
feat_withdrawn_flag,feat,827,0,100.0
feat_terminated_flag,feat,827,0,100.0
feat_trial_quality_score,feat,784,43,94.8
feat_prior_mean_abs_move_atr_by_phase,feat,774,53,93.6
feat_prior_mean_abs_move_atr_by_therapeutic_superclass,feat,827,0,100.0
feat_prior_mean_abs_move_atr_by_phase_x_therapeutic_superclass,feat,827,0,100.0
feat_market_cap_bucket,feat,827,0,100.0
feat_prior_mean_abs_move_atr_by_market_cap_bucket,feat,827,0,100.0
feat_date_corrected_flag,feat,827,0,100.0
feat_endpoint_outcome_score,feat,827,0,100.0
