feature_name,stage,feature_type,description,source_columns,source_type,n_valid,n_null,pct_valid
target_abs_move_atr,pass1/pass3,target,,,deterministic,825,2,99.8
target_move_bucket,pass1/pass3,target,,,deterministic,825,2,99.8
target_large_move,pass1/pass3,target,,,deterministic,827,0,100.0
feat_phase_num,pass1/pass3,feat,,,deterministic,774,53,93.6
feat_late_stage_flag,pass1/pass3,feat,,,deterministic,774,53,93.6
feat_mesh_level1_encoded,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_log_market_cap,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_short_squeeze_flag,pass1/pass3,feat,,,deterministic,797,30,96.4
feat_ownership_low_flag,pass1/pass3,feat,,,deterministic,824,3,99.6
feat_volatility,pass1/pass3,feat,,,deterministic,825,2,99.8
feat_days_to_primary_completion,pass1/pass3,feat,,,deterministic,780,47,94.3
feat_event_proximity_bucket,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_active_not_recruiting_flag,pass1/pass3,feat,,,deterministic,784,43,94.8
feat_design_quality_score,pass1/pass3,feat,,,deterministic,784,43,94.8
feat_n_trials_for_company,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_n_unique_drugs_for_company,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_single_asset_company_flag,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_lead_asset_dependency_score,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_n_late_stage_trials_for_company,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_pipeline_concentration_simple,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_orphan_flag,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_fast_track_flag,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_breakthrough_flag,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_nda_bla_flag,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_priority_review_flag,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_regulatory_stage_score,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_enrollment_log,pass1/pass3,feat,,,deterministic,784,43,94.8
feat_randomized_flag,pass1/pass3,feat,,,deterministic,667,160,80.7
feat_controlled_flag,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_withdrawn_flag,pass1/pass3,feat,,,deterministic,827,0,100.0
feat_terminated_flag,pass1/pass3,feat,,,deterministic,827,0,100.0
