ticker,event_date,drug_name,nct_id_found,result,rejection_reason,queries_tried,final_candidates
SEPN,2025-02-18,SEP-786,,no_candidates,"No trials found for 'SEP-786' or variations ['SEP786', 'SEP-786']",4,0
IVVD,2025-02-03,VYD2311,NCT06523153,best_match,,1,1
CBIO,2024-10-29,CUE-101 and CUE-102,NCT03978689,best_match,,2,1
TSHA,2023-08-14,TSHA-102,NCT05606614,best_match,,1,2
TVGN,2024-10-14,TVGN 489,,no_candidates,No trials found for 'TVGN 489' or variations ['TVGN'],2,0
PRAX,2025-10-16,ulixacaltamide,NCT06087276,single_match,,1,1
EYPT,2023-12-04,EYP-1901,NCT05381948,best_match,,1,3
CLLS,2023-11-01,UCART22 and UCART20x22,NCT04150497,single_match,,2,1
SGMT,2024-01-22,denifanstat,NCT06248008,best_match,,1,1
CELC,2025-07-28,gedatolisib,NCT06757634,best_match,,1,2
SANA,2025-01-08,UP421,NCT06239636,single_match,,1,1
PMN,2025-07-21,PMN310,NCT06750432,best_match,,1,2
UNCY,2023-03-06,Renazorb,NCT01560884,single_match,,1,1
WVE,2025-12-08,WVE-007,NCT06842186,single_match,,1,1
NERV,2025-10-21,NVG-291,NCT05965700,best_match,,1,1
CCCC,2023-12-13,cemsidomide,NCT04756726,best_match,,1,3
DRUG,2024-10-14,Omvoh,NCT06249555,best_match,,1,4
STTK,2023-12-13,SL-172154,NCT05275439,best_match,,1,4
PEPG,2025-09-25,PGN-EDODM1,NCT06204809,best_match,,1,1
VKTX,2024-02-27,VK2735,NCT06828055,best_match,,1,2
PMN,2023-07-17,PMN310,NCT06750432,best_match,,1,2
IVVD,2023-12-18,VYD222,NCT06039449,best_match,,1,1
RAPP,2025-09-08,RAP-219,NCT07046494,best_match,,1,2
COGT,2025-11-10,bezuclastinib,NCT05208047,best_match,,1,1
DRUG,2024-10-18,GMRx2,NCT04518306,best_match,,1,2
TECX,2025-01-30,TX45,,no_candidates,No trials found for 'TX45',1,0
CORT,2025-03-31,relacorilant,NCT05257408,best_match,,1,4
TNGX,2023-08-09,TNG908,NCT05275478,single_match,,1,1
ARMP,2025-10-22,AP-SA02,NCT05184764,single_match,,1,1
INBX,2025-10-24,ozekibart (INBRX-109),NCT04950075,best_match,,2,2
MBX,2025-09-22,canvuparatide,,no_candidates,No trials found for 'canvuparatide',1,0
SABS,2023-04-13,SAB-185,NCT04518410,best_match,,1,1
SHC,2023-01-10,LP-10,NCT06233591,best_match,,1,4
BMEA,2023-03-28,BMF-219,NCT05731544,best_match,,1,5
SPRB,2025-08-05,tralesinidase alfa (TA-ERT),,no_candidates,No trials found for 'tralesinidase alfa (TA-ERT)' or variations ['tralesinidase'],2,0
CCCC,2023-12-12,CFT7455,NCT04756726,best_match,,1,2
IMVT,2023-09-26,IMVT-1402,NCT07039916,best_match,,1,5
IPHA,2024-12-13,SAR443579/IPH6101,,no_candidates,No trials found for 'SAR443579/IPH6101',1,0
KRRO,2024-10-16,KRRO-110,NCT06677307,single_match,,1,1
NKTR,2023-08-07,rezpegaldesleukin,NCT06136741,best_match,,1,4
TECX,2024-06-21,TX45,,no_candidates,No trials found for 'TX45',1,0
ARTV,2025-12-15,AlloNK,NCT06265220,best_match,,1,1
MLTX,2025-09-29,sonelokimab,NCT06641076,best_match,,1,5
AVTX,2023-06-26,AVTX-002,NCT05288504,best_match,,1,1
MBOT,2025-01-03,,,no_drug_name,No drug name provided and no ticker fallback available,0,0
