feature,importance
feat_volatility,313
feat_days_to_primary_completion,219
feat_cash_runway_proxy,202
feat_log_market_cap,149
feat_enrollment_log,128
feat_pipeline_depth_score,86
feat_asset_trial_share,76
feat_n_unique_drugs_for_company,72
feat_blinded_flag,54
feat_phase_num,50
feat_cns_flag,46
feat_recent_completion_flag,46
feat_completed_flag,44
feat_mesh_level1_encoded,39
feat_trial_quality_score,35
feat_design_quality_score,29
feat_pivotal_proxy_score,29
feat_oncology_flag,26
feat_regulatory_stage_score,22
feat_ownership_low_flag,15
feat_event_proximity_bucket_future_near,13
feat_therapeutic_superclass_CNS,9
feat_lead_asset_dependency_score,9
feat_randomized_flag,7
feat_active_not_recruiting_flag,7
feat_event_proximity_bucket_future_far,6
feat_event_proximity_bucket_just_completed,6
feat_open_label_flag,5
feat_nda_bla_flag,5
feat_therapeutic_superclass_Endocrine/Metabolic,4
feat_therapeutic_superclass_Oncology,3
feat_short_squeeze_flag,2
feat_therapeutic_superclass_Immunology,1
feat_small_trial_flag,1
feat_therapeutic_superclass_Cardiovascular,1
feat_therapeutic_superclass_Respiratory,1
feat_event_proximity_bucket_past,0
feat_late_stage_flag,0
feat_orphan_flag,0
feat_breakthrough_flag,0
feat_therapeutic_superclass_Other,0
feat_rare_disease_flag,0
feat_therapeutic_superclass_Musculoskeletal,0
feat_therapeutic_superclass_Infectious Disease,0
feat_single_asset_company_flag,0
feat_therapeutic_superclass_GI/Hepatology,0
feat_therapeutic_superclass_Dermatology,0
feat_fast_track_flag,0
feat_event_proximity_bucket_unknown,0
