model,split,threshold,precision,recall,f1,n_flagged,roc_auc
logreg,val,0.1,0.3043,1.0,0.4667,92,0.7473
logreg,val,0.15,0.3023,0.9286,0.4561,86,0.7473
logreg,val,0.2,0.3012,0.8929,0.4505,83,0.7473
logreg,val,0.25,0.2987,0.8214,0.4381,77,0.7473
logreg,val,0.3,0.3056,0.7857,0.44,72,0.7473
logreg,val,0.35,0.3056,0.7857,0.44,72,0.7473
logreg,val,0.4,0.3188,0.7857,0.4536,69,0.7473
logreg,val,0.45,0.3231,0.75,0.4516,65,0.7473
logreg,val,0.5,0.3443,0.75,0.4719,61,0.7473
logreg,val,0.55,0.3962,0.75,0.5185,53,0.7473
logreg,val,0.6,0.3864,0.6071,0.4722,44,0.7473
logreg,val,0.65,0.4444,0.5714,0.5,36,0.7473
logreg,val,0.7,0.4815,0.4643,0.4727,27,0.7473
logreg,val,0.75,0.5,0.2857,0.3636,16,0.7473
logreg,val,0.8,0.4286,0.1071,0.1714,7,0.7473
logreg,val,0.85,0.3333,0.0357,0.0645,3,0.7473
logreg,val,0.9,0.0,0.0,0.0,0,0.7473
logreg,val,top_10pct,0.5,,,12,0.7473
lgbm,val,0.1,0.3377,0.9286,0.4952,77,0.7796
lgbm,val,0.15,0.3286,0.8214,0.4694,70,0.7796
lgbm,val,0.2,0.3433,0.8214,0.4842,67,0.7796
lgbm,val,0.25,0.3333,0.75,0.4615,63,0.7796
lgbm,val,0.3,0.3448,0.7143,0.4651,58,0.7796
lgbm,val,0.35,0.3958,0.6786,0.5,48,0.7796
lgbm,val,0.4,0.4091,0.6429,0.5,44,0.7796
lgbm,val,0.45,0.4048,0.6071,0.4857,42,0.7796
lgbm,val,0.5,0.4324,0.5714,0.4923,37,0.7796
lgbm,val,0.55,0.4571,0.5714,0.5079,35,0.7796
lgbm,val,0.6,0.5172,0.5357,0.5263,29,0.7796
lgbm,val,0.65,0.6087,0.5,0.549,23,0.7796
lgbm,val,0.7,0.7647,0.4643,0.5778,17,0.7796
lgbm,val,0.75,0.8182,0.3214,0.4615,11,0.7796
lgbm,val,0.8,0.8,0.1429,0.2424,5,0.7796
lgbm,val,0.85,1.0,0.0357,0.069,1,0.7796
lgbm,val,0.9,0.0,0.0,0.0,0,0.7796
lgbm,val,top_10pct,0.8333,,,12,0.7796
logreg,test,0.1,0.3689,0.9744,0.5352,103,0.6855
logreg,test,0.15,0.3725,0.9744,0.539,102,0.6855
logreg,test,0.2,0.3725,0.9744,0.539,102,0.6855
logreg,test,0.25,0.3762,0.9744,0.5429,101,0.6855
logreg,test,0.3,0.37,0.9487,0.5324,100,0.6855
logreg,test,0.35,0.3789,0.9231,0.5373,95,0.6855
logreg,test,0.4,0.4045,0.9231,0.5625,89,0.6855
logreg,test,0.45,0.4118,0.8974,0.5645,85,0.6855
logreg,test,0.5,0.3875,0.7949,0.521,80,0.6855
logreg,test,0.55,0.3889,0.7179,0.5045,72,0.6855
logreg,test,0.6,0.3881,0.6667,0.4906,67,0.6855
logreg,test,0.65,0.3906,0.641,0.4854,64,0.6855
logreg,test,0.7,0.46,0.5897,0.5169,50,0.6855
logreg,test,0.75,0.5,0.4615,0.48,36,0.6855
logreg,test,0.8,0.48,0.3077,0.375,25,0.6855
logreg,test,0.85,0.6429,0.2308,0.3396,14,0.6855
logreg,test,0.9,1.0,0.1026,0.186,4,0.6855
logreg,test,top_10pct,0.6667,,,12,0.6855
lgbm,test,0.1,0.3846,0.8974,0.5385,91,0.6627
lgbm,test,0.15,0.3933,0.8974,0.5469,89,0.6627
lgbm,test,0.2,0.3882,0.8462,0.5323,85,0.6627
lgbm,test,0.25,0.3855,0.8205,0.5246,83,0.6627
lgbm,test,0.3,0.4156,0.8205,0.5517,77,0.6627
lgbm,test,0.35,0.4054,0.7692,0.531,74,0.6627
lgbm,test,0.4,0.4308,0.7179,0.5385,65,0.6627
lgbm,test,0.45,0.4262,0.6667,0.52,61,0.6627
lgbm,test,0.5,0.4237,0.641,0.5102,59,0.6627
lgbm,test,0.55,0.4038,0.5385,0.4615,52,0.6627
lgbm,test,0.6,0.413,0.4872,0.4471,46,0.6627
lgbm,test,0.65,0.4146,0.4359,0.425,41,0.6627
lgbm,test,0.7,0.4167,0.3846,0.4,36,0.6627
lgbm,test,0.75,0.4444,0.3077,0.3636,27,0.6627
lgbm,test,0.8,0.4762,0.2564,0.3333,21,0.6627
lgbm,test,0.85,0.3333,0.0513,0.0889,6,0.6627
lgbm,test,0.9,0.5,0.0256,0.0488,2,0.6627
lgbm,test,top_10pct,0.5,,,12,0.6627
